cell_rank,priority_band,scientific_name,module_id,module_name,matrix_segment,pool_role,tested_negative_priority,current_state,required_search,completion_rule
1,1,Acris crepitans,A,generative_cognition,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
2,1,Acris crepitans,B,social_transmission,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
3,1,Acris crepitans,C,communication,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
4,1,Acris crepitans,D,manipulation_embodiment,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
5,1,Acris crepitans,E,externalization,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
6,1,Acris crepitans,F,social_architecture,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
7,1,Birgus latro,A,generative_cognition,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
8,1,Birgus latro,B,social_transmission,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
9,1,Birgus latro,C,communication,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
10,1,Birgus latro,D,manipulation_embodiment,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
11,1,Birgus latro,E,externalization,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
12,1,Birgus latro,F,social_architecture,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
13,1,Camponotus sericeiventris,A,generative_cognition,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
14,1,Camponotus sericeiventris,B,social_transmission,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
15,1,Camponotus sericeiventris,C,communication,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
16,1,Camponotus sericeiventris,D,manipulation_embodiment,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
17,1,Camponotus sericeiventris,E,externalization,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
18,1,Camponotus sericeiventris,F,social_architecture,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
19,1,Chelydra serpentina,A,generative_cognition,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
20,1,Chelydra serpentina,B,social_transmission,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
21,1,Chelydra serpentina,C,communication,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
22,1,Chelydra serpentina,D,manipulation_embodiment,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
23,1,Chelydra serpentina,E,externalization,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
24,1,Chelydra serpentina,F,social_architecture,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
25,1,Ctenophorus nuchalis,A,generative_cognition,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
26,1,Ctenophorus nuchalis,B,social_transmission,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
27,1,Ctenophorus nuchalis,C,communication,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
28,1,Ctenophorus nuchalis,D,manipulation_embodiment,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
29,1,Ctenophorus nuchalis,E,externalization,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
30,1,Ctenophorus nuchalis,F,social_architecture,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
31,1,Hyla versicolor,A,generative_cognition,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
32,1,Hyla versicolor,B,social_transmission,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
33,1,Hyla versicolor,C,communication,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
34,1,Hyla versicolor,D,manipulation_embodiment,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
35,1,Hyla versicolor,E,externalization,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
36,1,Hyla versicolor,F,social_architecture,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
37,1,Metazygia rogenhoferi,A,generative_cognition,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
38,1,Metazygia rogenhoferi,B,social_transmission,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
