selection_rank,provider,stratum,query_index,query,source_rank,provider_id,doi,title,year,type,venue_or_topic,cited_by_count,landing_url,dedupe_key
1,openalex,conflict_security,1,intergroup competition intragroup cooperation,1,https://openalex.org/W1982387463,10.1016/0022-1031(77)90015-4,Intergroup and intragroup competition and cooperation,1977,article,Social and Intergroup Psychology,94,https://openalex.org/W1982387463,doi:10.1016/0022-1031(77)90015-4
2,crossref,conflict_security,1,intergroup competition intragroup cooperation,1,10.4324/9780203124635-9,10.4324/9780203124635-9,Oxytocinergic Circuitry Motivates Intragroup Cooperation and Intergroup Competition,2013,book-chapter,Neuroscience of Prejudice and Intergroup Relations,0,https://doi.org/10.4324/9780203124635-9,doi:10.4324/9780203124635-9
3,openalex,conflict_security,2,external threat internal cohesion rally around flag,2,https://openalex.org/W4366776991,10.1177/00220027231171310,Natural Experiments of the Rally 'Round the Flag Effects Using Worldwide Surveys,2023,article,Political Influence and Corporate Strategies,19,https://openalex.org/W4366776991,doi:10.1177/00220027231171310
4,crossref,conflict_security,2,external threat internal cohesion rally around flag,1,10.2139/ssrn.4054309,10.2139/ssrn.4054309,Rally Around Which Flag?: Investigation of the Impact of Sanctions on the Rally Around the Flag Effects Using Focused Group Discussion with North Korean Defectors,2022,posted-content,,0,https://doi.org/10.2139/ssrn.4054309,doi:10.2139/ssrn.4054309
5,openalex,conflict_security,3,security dilemma deterrence conflict prevention,3,https://openalex.org/W2280306538,10.1093/cybsec/tyv003,Tipping the scales: the attribution problem and the feasibility of deterrence against cyberattack,2015,article,Cybersecurity and Cyber Warfare Studies,219,https://openalex.org/W2280306538,doi:10.1093/cybsec/tyv003
6,crossref,conflict_security,3,security dilemma deterrence conflict prevention,1,10.4324/9780203927113-8,10.4324/9780203927113-8,"Fear, preemption, retaliation: An empirical test of the security dilemma",2008,book-chapter,"Intra-State Conflict, Governments and Security",0,https://doi.org/10.4324/9780203927113-8,doi:10.4324/9780203927113-8
7,openalex,conflict_security,1,intergroup competition intragroup cooperation,2,https://openalex.org/W2488612938,10.1016/b978-0-12-210820-4.50011-3,The Effects of Intergroup Competition and Cooperation on Intragroup and Intergroup Relationships,1982,book-chapter,Social and Intergroup Psychology,49,https://openalex.org/W2488612938,doi:10.1016/b978-0-12-210820-4.50011-3
8,openalex,conflict_security,2,external threat internal cohesion rally around flag,3,https://openalex.org/W2031539847,10.1080/13698249.2013.781299,How Wartime Violence Affects Social Cohesion: The Spatial–Temporal Gravity Model,2013,article,Political Conflict and Governance,41,https://openalex.org/W2031539847,doi:10.1080/13698249.2013.781299
9,crossref,conflict_security,2,external threat internal cohesion rally around flag,4,10.31235/osf.io/pu47c,10.31235/osf.io/pu47c,Political trust during the Covid-19 pandemic: Rally around the flag or lockdown effects?,2020,posted-content,,21,https://doi.org/10.31235/osf.io/pu47c,doi:10.31235/osf.io/pu47c
10,openalex,conflict_security,3,security dilemma deterrence conflict prevention,6,https://openalex.org/W2019756626,10.1111/j.1747-7093.2010.00256.x,"Deterrence, Democracy, and the Pursuit of International Justice",2010,article,Global Peace and Security Dynamics,94,https://openalex.org/W2019756626,doi:10.1111/j.1747-7093.2010.00256.x
11,crossref,conflict_security,3,security dilemma deterrence conflict prevention,3,10.1093/oxfordhb/9780198800682.013.16,10.1093/oxfordhb/9780198800682.013.16,The Deterrence and Prevention of Cyber Conflict,2021,book-chapter,The Oxford Handbook of Cyber Security,4,https://doi.org/10.1093/oxfordhb/9780198800682.013.16,doi:10.1093/oxfordhb/9780198800682.013.16
12,openalex,conflict_security,1,intergroup competition intragroup cooperation,3,https://openalex.org/W1207133822,,The effects of intergroup competition and intragroup cooperation on slack and output in a,1993,article,Experimental Behavioral Economics Studies,32,https://openalex.org/W1207133822,ty:the effects of intergroup competition and intragroup cooperation on slack and output in a|1993
13,openalex,conflict_security,2,external threat internal cohesion rally around flag,5,https://openalex.org/W3088262666,10.1080/14782804.2020.1825352,Rally around the EU flag: Irish party positions on the EU in the wake of Brexit,2020,article,European and International Law Studies,7,https://openalex.org/W3088262666,doi:10.1080/14782804.2020.1825352
14,crossref,conflict_security,2,external threat internal cohesion rally around flag,5,10.14321/jj.41316987.18,10.14321/jj.41316987.18,Native Americans Rally Around the Flag,2026,book-chapter,Many a Hand,0,https://doi.org/10.14321/jj.41316987.18,doi:10.14321/jj.41316987.18
15,openalex,conflict_security,3,security dilemma deterrence conflict prevention,7,https://openalex.org/W1885434764,10.1111/j.1468-2478.2010.00606.x,The Emerging Fourth Wave of Deterrence Theory-Toward a New Research Agenda,2010,article,International Relations and Foreign Policy,116,https://openalex.org/W1885434764,doi:10.1111/j.1468-2478.2010.00606.x
16,crossref,conflict_security,3,security dilemma deterrence conflict prevention,4,10.4324/9781003001843-4,10.4324/9781003001843-4,Deterrence and reassurance,2020,book-chapter,Security and Stability in the New Space Age,0,https://doi.org/10.4324/9781003001843-4,doi:10.4324/9781003001843-4
17,openalex,conflict_security,1,intergroup competition intragroup cooperation,11,https://openalex.org/W2277682715,10.1016/j.anbehav.2016.01.009,The effect of intergroup competition on intragroup affiliation in primates,2016,article,Primate Behavior and Ecology,45,https://openalex.org/W2277682715,doi:10.1016/j.anbehav.2016.01.009
18,crossref,conflict_security,1,intergroup competition intragroup cooperation,6,10.1108/s0163-786x20140000037004,10.1108/s0163-786x20140000037004,From Intragroup Conflict to Intergroup Cooperation,2014,book-chapter,Intersectionality and Social Change,4,https://doi.org/10.1108/s0163-786x20140000037004,doi:10.1108/s0163-786x20140000037004
