scientific_name,retrieval_rank,paper_id,title,screening_status
Balaenoptera musculus,1,arxiv:2608.10218,Mind Viruses: Self-Propagating Ideas in Multi-Agent LLM Systems - arXiv,pending
Galerella sanguinea,1,pmcid:PMC8666901,Collective knowledge and the dynamics of culture in chimpanzees.,pending
Galerella sanguinea,2,pmcid:PMC4344839,Experimentally induced innovations lead to persistent culture via conformity in wild birds.,pending
Galerella sanguinea,3,pmcid:PMC8666913,Complex foraging behaviours in wild birds emerge from social learning and recombination of components.,pending
Galerella sanguinea,4,pmcid:PMC9276793,Cumulative cultural evolution and mechanisms for cultural selection in wild bird songs.,pending
Galerella sanguinea,5,pmcid:PMC13132227,Wild parrots exhibit age-dependent conformity when learning about novel food.,pending
Galerella sanguinea,6,pmcid:PMC2982037,Complex cognition and behavioural innovation in New Caledonian crows.,pending
Galerella sanguinea,7,pmcid:PMC5134038,The effects of tradition on problem solving by two wild populations of bearded capuchin monkeys in a probing task.,pending
Galerella sanguinea,8,pmid:42025566,Collective social niche construction shaping adaptive social networks.,pending
Galerella sanguinea,9,pmid:35570086,Social cognition in insects.,pending
Galerella sanguinea,10,pmcid:PMC4659832,Experimental resource pulses influence social-network dynamics and the potential for information flow in tool-using crows.,pending
Galerella sanguinea,11,pmcid:PMC4594425,The spread of a novel behavior in wild chimpanzees: New insights into the ape cultural mind.,pending
Galerella sanguinea,12,pmcid:PMC4181963,Social network analysis shows direct evidence for social transmission of tool use in wild chimpanzees.,pending
Galerella sanguinea,13,pmcid:PMC5278621,How social learning adds up to a culture: from birdsong to human public opinion.,pending
Galerella sanguinea,14,pmcid:PMC4810823,Young children spontaneously invent wild great apes' tool-use behaviours.,pending
Galerella sanguinea,15,pmcid:PMC8107227,Mechanisms of Cultural Evolution in the Songs of Wild Bird Populations.,pending
Galerella sanguinea,16,pmid:26276368,How New Caledonian crows solve novel foraging problems and what it means for cumulative culture.,pending
Galerella sanguinea,17,pmid:27359074,Explorative innovators and flexible use of social information in common ravens (Corvus corax) and carrion crows (Corvus corone).,pending
Galerella sanguinea,18,pmcid:PMC6507502,Social learning about construction behaviour via an artefact.,pending
Galerella sanguinea,19,pmid:20628160,Social learning in New Caledonian crows.,pending
Galerella sanguinea,20,pmcid:PMC12044385,Network indicators of cultural resilience to anthropogenic removals in animal societies.,pending
Galerella sanguinea,21,pmcid:PMC4780534,Innovation in the collective brain.,pending
Galerella sanguinea,22,arxiv:2410.00780,Mutual benefits of social learning and algorithmic mediation for cumulative culture,pending
Galerella sanguinea,23,pmcid:PMC11978438,Mutual benefits of social learning and algorithmic mediation for cumulative culture.,pending
Galerella sanguinea,24,pmcid:PMC5325865,"Atypical birdsong and artificial languages provide insights into how communication systems are shaped by learning, use, and transmission.",pending
Galerella sanguinea,25,arxiv:2506.18920,Signal Use and Emergent Cooperation,pending
Galerella sanguinea,26,pmcid:PMC4938043,Pathways of information transmission among wild songbirds follow experimentally imposed changes in social foraging structure.,pending
Galerella sanguinea,27,pmcid:PMC11621824,Social tolerance and success-biased social learning underlie the cultural transmission of an induced extractive foraging tradition in a wild tool-using primate.,pending
Galerella sanguinea,28,doi:10.1101/2025.06.06.658225,Dynamic strategic social learning in nest-building zebra finches and its generalisability,pending
Galerella sanguinea,29,pmcid:PMC12364576,Wild jackdaws learn to tolerate juveniles to exploit new information,pending
Galerella sanguinea,30,pmid:32309965,Shared worlds and shared minds: A theory of collective learning and a psychology of common knowledge.,pending
