query_name,issue,opentree_name,ott_id,opentree_rank,resolution_action,analysis_rule,notes
Astatotilapia burtoni,synonym,Haplochromis burtoni,710025,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,"OpenTree preferred name differs."
Balaenoptera musculus,multiple_match,Balaenoptera musculus,226190,species,choose_non_synonym_self,exact_species_terminal,"Second match is a synonym attached to B. physalus; self non-synonym resolves ambiguity."
Canis familiaris,domestic_below_species,Canis lupus familiaris,247333,subspecies,retain_operational_domestic_taxon,not_independent_species_terminal,"Useful screening taxon but must not enter species-level phylogenetic model as an independent species without special handling."
Chen rossii,synonym,Anser rossii,767830,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,"EltonTraits uses older genus."
Dendrobates pumilio,synonym,Oophaga pumilio,891119,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,"OpenTree preferred name differs."
Equus quagga,rank_conflict,Equus burchellii quagga,124776,subspecies,manual_taxonomy_review,exclude_from_confirmatory_tree_until_resolved,"Modern usage commonly treats E. quagga as species; OpenTree mapping is below species."
Gallus domesticus,synonym_same_ott_as_pool_taxon,Gallus gallus,153563,species,retain_domestic_operational_form,shared_species_cluster,"Gallus gallus is also separately present; domestic and wild forms may be screened separately but are not independent species terminals."
Gopherus agassizii,multiple_match,Gopherus agassizii,831059,species,choose_non_synonym_self,exact_species_terminal,"Self non-synonym resolves ambiguity."
Gryllus campestris,multiple_match,Gryllus campestris,599281,species,choose_non_synonym_self,exact_species_terminal,"Self non-synonym resolves ambiguity."
Hyaena brunnea,synonym,Parahyaena brunnea,742313,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,"EltonTraits older genus."
Macropus antilopinus,synonym,Osphranter antilopinus,398453,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,"EltonTraits older genus."
Myiomela albiventris,synonym,Brachypteryx albiventris,736235,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,"EltonTraits taxonomy differs from OpenTree."
Myiomela major,synonym,Sholicola major,1082155,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,"ASNR taxonomy differs from OpenTree."
Parus leucomelas,synonym,Melaniparus leucomelas,4131693,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,"EltonTraits older genus."
Physeter macrocephalus,synonym,Physeter catodon,276851,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,"Already explicit in the 29-taxon pilot."
Serracutisoma proximum,opentree_unmatched,Acutisoma proximum,5097765,species,manual_legacy_ott_crosswalk,retain_valid_current_name,"Systematic revision recognizes Serracutisoma proximum; OpenTree lacks current combination and approximate-matches legacy Acutisoma proximum. Do not label this an automatic approximate match."
Thryothorus eisenmanni,synonym,Pheugopedius eisenmanni,3599099,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,"EltonTraits older genus."
Hyla versicolor,synonym,Dryophytes versicolor,386095,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,"AnimalTraits uses the older Hyla combination; OpenTree preferred genus is Dryophytes."
Nephila clavipes,synonym,Trichonephila clavipes,201922,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,"AnimalTraits uses the older Nephila combination; OpenTree preferred genus is Trichonephila."
