candidate_species,intended_contrast,selection_role,evidence_status
Taeniopygia guttata,"vocal learning with limited manipulatory technology",theory_discriminating_candidate,candidate_requires_module_screen
Saccopteryx bilineata,"mammalian vocal-learning convergence under bat embodiment",theory_discriminating_candidate,candidate_requires_module_screen
Enhydra lutris,"habitual tool use under non-primate marine-mammal embodiment",theory_discriminating_candidate,candidate_requires_module_screen
Castor canadensis,"high persistent environmental construction without assumed high individual generative cognition",theory_discriminating_candidate,candidate_requires_module_screen
Ptilonorhynchus violaceus,"persistent construction/display and social signaling",theory_discriminating_candidate,candidate_requires_module_screen
Canis lupus,"cooperation/sociality with low precision object manipulation",theory_discriminating_candidate,candidate_requires_module_screen
Lycaon pictus,"extreme cooperative hunting under low manipulatory technology",theory_discriminating_candidate,candidate_requires_module_screen
Rattus norvegicus,"general-learning and social-learning calibration",theory_discriminating_candidate,candidate_requires_module_screen
Heterocephalus glaber,"extreme sociality and longevity configuration",theory_discriminating_candidate,candidate_requires_module_screen
Aldabrachelys gigantea,"extreme longevity without assumed cultural breadth",theory_discriminating_candidate,candidate_requires_module_screen
Labroides dimidiatus,"social cognition under highly divergent neural/body constraints",theory_discriminating_candidate,candidate_requires_module_screen
Portia fimbriata,"flexible predatory problem solving with tiny nervous system",theory_discriminating_candidate,candidate_requires_module_screen
Atta cephalotes,"division of labour and persistent colony infrastructure",theory_discriminating_candidate,candidate_requires_module_screen
Aphelocoma californica,"caching and future-oriented information-use comparator",theory_discriminating_candidate,candidate_requires_module_screen
