scientific_name,retrieval_rank,paper_id,title,screening_status,exact_species_scope,notes
Aldabrachelys gigantea,1,pmid:28310773,Feeding ecology and seasonal movements of giant tortoises on Aldabra atoll.,pending,unknown,
Aldabrachelys gigantea,2,pmid:32309965,Shared worlds and shared minds: A theory of collective learning and a psychology of common knowledge.,pending,unknown,
Aldabrachelys gigantea,3,pmcid:PMC5134038,The effects of tradition on problem solving by two wild populations of bearded capuchin monkeys in a probing task.,pending,unknown,
Aldabrachelys gigantea,4,pmid:20619805,Animal traditions: experimental evidence of learning by imitation in an unlikely animal.,pending,unknown,
Aldabrachelys gigantea,5,pmcid:PMC8666914,Collective minds: social network topology shapes collective cognition.,pending,unknown,
Aldabrachelys gigantea,6,pmid:20605459,Imitation and traditions in wild banded mongooses.,pending,unknown,
Aldabrachelys gigantea,7,pmid:25800169,Social learning strategies for nut-cracking by tufted capuchin monkeys (Sapajus spp.).,pending,unknown,
Aldabrachelys gigantea,8,pmid:22697301,Tool innovation may be a critical limiting step for the establishment of a rich tool-using culture: a perspective from child development.,pending,unknown,
Aldabrachelys gigantea,9,pmcid:PMC4190960,Video demonstrations seed alternative problem-solving techniques in wild common marmosets.,pending,unknown,
Aldabrachelys gigantea,10,pmid:42114360,"Insightful problem solving and social learning in children's tool making: Exploring the role of napping, night sleep, age, and gender.",pending,unknown,
Aldabrachelys gigantea,11,pmid:32589911,"Integrating Genetic, Environmental, and Social Networks to Reveal Transmission Pathways of a Dolphin Foraging Innovation.",pending,unknown,
Aldabrachelys gigantea,12,pmid:42169389,Creative problem solving in a jumping spider.,pending,unknown,
Aldabrachelys gigantea,13,pmid:10877899,Social learning of a novel foraging patch in families of free-living Florida scrub-jays.,pending,unknown,
Aldabrachelys gigantea,14,pmcid:PMC1564214,Faithful replication of foraging techniques along cultural transmission chains by chimpanzees and children.,pending,unknown,
Aldabrachelys gigantea,15,pmid:27159683,Shotgun sequencing of the mitochondrial genome of the Aldabra giant tortoise (Aldabrachelys gigantea).,pending,unknown,
Aldabrachelys gigantea,16,pmid:20602132,Leaf swallowing behavior in chimpanzees (Pan troglodytes): biased learning and the emergence of group level cultural differences.,pending,unknown,
Aldabrachelys gigantea,17,pmcid:PMC5605539,Gender differences measured by the MATRICS consensus cognitive battery in chronic schizophrenia patients.,pending,unknown,
Aldabrachelys gigantea,18,pmid:9236013,Shoaling generates social learning of foraging information in guppies,pending,unknown,
Aldabrachelys gigantea,19,pmid:18282325,Emotion perception and learning potential: mediators between neurocognition and social problem-solving in schizophrenia?,pending,unknown,
Aldabrachelys gigantea,20,pmcid:PMC4810823,Young children spontaneously invent wild great apes' tool-use behaviours.,pending,unknown,
Aldabrachelys gigantea,21,pmid:25539772,Wild vervet monkeys copy alternative methods for opening an artificial fruit.,pending,unknown,
Aldabrachelys gigantea,22,pmid:20526955,Mentalising and social problem-solving after brain injury.,pending,unknown,
Aldabrachelys gigantea,23,pmcid:PMC4045399,"Memory, transmission and persistence of alternative foraging techniques in wild common marmosets.",pending,unknown,
Aldabrachelys gigantea,24,pmid:39302554,Long-term observations in the Ndoki forest resolve enduring questions about truffle foraging by western lowland gorillas.,pending,unknown,
Aldabrachelys gigantea,25,pmcid:PMC12440625,Better together than alone: sociality mitigates the negative impact of early family disruption on adult problem-solving performance in zebra finches.,pending,unknown,
Aphelocoma californica,1,pmid:24322875,Western scrub-jays allocate longer observation time to more valuable information.,pending,unknown,
Aphelocoma californica,2,pmid:12827547,Western scrub-jays ( Aphelocoma californica) use cognitive strategies to protect their caches from thieving conspecifics.,pending,unknown,
Aphelocoma californica,3,pmcid:PMC5054065,Western scrub-jays (Aphelocoma californica) solve multiple-string problems by the spatial relation of string and reward.,pending,unknown,
Aphelocoma californica,4,pmid:10877899,Social learning of a novel foraging patch in families of free-living Florida scrub-jays.,pending,unknown,
Aphelocoma californica,5,pmid:26267805,Hint-seeking behaviour of western scrub-jays in a metacognition task.,pending,unknown,
Aphelocoma californica,6,pmid:17314979,Planning for the future by western scrub-jays.,pending,unknown,
Aphelocoma californica,7,pmcid:PMC2836840,The development of caching and object permanence in Western scrub-jays (Aphelocoma californica): which emerges first?,pending,unknown,
Aphelocoma californica,8,pmid:17462894,Western scrub-jays anticipate future needs independently of their current motivational state.,pending,unknown,
Aphelocoma californica,9,pmid:12561130,Interacting Cache memories: evidence for flexible memory use by Western Scrub-Jays (Aphelocoma californica).,pending,unknown,
Aphelocoma californica,10,pmid:18085920,"Serial reversal learning and the evolution of behavioral flexibility in three species of North American corvids (Gymnorhinus cyanocephalus, Nucifraga columbiana, Aphelocoma californica).",pending,unknown,
Aphelocoma californica,11,pmcid:PMC5857174,Difficulties when using video playback to investigate social cognition in California scrub-jays (Aphelocoma californica).,pending,unknown,
Aphelocoma californica,12,pmid:16709747,Food-caching western scrub-jays keep track of who was watching when.,pending,unknown,
Aphelocoma californica,13,pmid:27036232,Counting on your friends: The role of social environment on quantity discrimination.,pending,unknown,
Aphelocoma californica,14,pmid:22085790,Use of a barbed tool by an adult and a juvenile woodpecker finch (Cactospiza pallida).,pending,unknown,
Aphelocoma californica,15,pmcid:PMC3297405,Eurasian jays (Garrulus glandarius) overcome their current desires to anticipate two distinct future needs and plan for them appropriately.,pending,unknown,
Aphelocoma californica,16,pmcid:PMC8847367,Social behavior mediates the use of social and personal information in wild jays.,pending,unknown,
Aphelocoma californica,17,pmid:34081496,"Abstract-concept learning in two species of new world corvids, pinyon jays (Gymnorhinus Cyanocephalus) and California scrub jays (Aphelocoma Californica).",pending,unknown,
Aphelocoma californica,18,pmid:17924785,The control of food-caching behavior by Western scrub-jays (Aphelocoma californica).,pending,unknown,
Aphelocoma californica,19,pmid:11719804,Effects of experience and social context on prospective caching strategies by scrub jays.,pending,unknown,
Aphelocoma californica,20,pmcid:PMC3541402,Re-caching by Western scrub-jays (Aphelocoma californica) cannot be attributed to stress.,pending,unknown,
Aphelocoma californica,21,pmcid:PMC8666913,Complex foraging behaviours in wild birds emerge from social learning and recombination of components.,pending,unknown,
Aphelocoma californica,22,pmcid:PMC6507502,Social learning about construction behaviour via an artefact.,pending,unknown,
Aphelocoma californica,23,pmcid:PMC5544276,Conformity does not perpetuate suboptimal traditions in a wild population of songbirds.,pending,unknown,
Aphelocoma californica,24,pmcid:PMC5134038,The effects of tradition on problem solving by two wild populations of bearded capuchin monkeys in a probing task.,pending,unknown,
Aphelocoma californica,25,pmcid:PMC4004823,No evidence of temporal preferences in caching by Western scrub-jays (Aphelocoma californica).,pending,unknown,
