concept_id,dimension,adjudicated_score,adjudication_note
D02,D1,2,"Colonial archaeological services repeatedly institutionalized archaeology in India, Egypt, Palestine and other imperial settings, but archaeology also had strong metropolitan/national formation paths; substantial recurring administrative role, not discipline-wide foundational dominance."
D02,D5,0,"Frozen D5 concerns minerals/geology/resource inventories/commercial extraction. Division of antiquities/finds belongs to collections/museums (D9), not D5; no evidence that resource extraction materially formed archaeology as a discipline."
D02,D7,0,"No verified evidence that agriculture, forestry, crop transfer or ecological-management infrastructures materially shaped archaeology's disciplinary formation; absence is adjudicated as 0 after targeted evidence review."
D03,D6,1,"Medical geography and disease mapping have documented roots in colonial/tropical medicine, including colonial surgeons and imperial disease mapping, but this is a distinct subfield rather than a substantial discipline-wide formative mechanism."
D08,D7,1,"Colonial agrogeology and soil mapping connected earth science to agricultural development and land governance, especially in the Dutch East Indies and tropical soil science, but the channel is subfield-specific rather than core geology-wide."
D12,D9,1,"Colonial Blue Books and archives became important source infrastructure for economic history and later empirical work, but archives/collections were peripheral to the formation of economics' core institutions and theory."
D13,D3,2,"Colonial administration recurrently relied on census, racial/ethnic and social classification to render governed populations legible; this was a substantial administrative knowledge practice across empires, though not foundational to the whole academic theory of public administration/social policy."
D15,D3,2,"Colonial censuses, gazetteers and ethnographic classifications substantially structured the source base and categories of histories of colonized societies, but professional history also formed strongly through metropolitan/national traditions, so 2 rather than 3."
D16,D4,2,"Late-colonial demography repeatedly used overseas censuses and sample surveys as field data infrastructures across many colonies; these field operations were substantial to policy demography and population studies."
D17,D1,1,"Imperial survey and revenue administration used geodesy, adjustment and mathematical precision, but the formative core of mathematics remained overwhelmingly metropolitan; documented but peripheral administrative demand."
D18,D1,1,"Empire-funded observatory and magnetic-survey networks served navigation and colonial state objectives, but these channels sit mainly in geophysics/meteorology and did not substantially form the twentieth-century core of physics."
D20,D3,1,"Colonial censuses and identification regimes contributed to punched-card/data-processing infrastructures, but computer science institutionalized mainly in postwar metropolitan military/state/commercial systems; the classification link is real but indirect and peripheral."
