taxon_id,scientific_name,common_name,major_clade,contrast_role,priority,acdb_exact_match,acdb_behaviors,acdb_domains,literature_seed_exact_rows,literature_seed_broader_rows,coverage_state,next_action
HUM,Homo sapiens,human,Primates,target_reference,core,0,0,0,1,0,seed_evidence_present,expand_and_code_modules
PTR,Pan troglodytes,chimpanzee,Primates,near_human_dissociation,core,1,2,1,1,0,seed_evidence_present,expand_and_code_modules
PPA,Pan paniscus,bonobo,Primates,near_human_social_tolerance,core,1,4,2,0,0,seed_evidence_present,expand_and_code_modules
PON,Pongo spp.,orangutans,Primates,ape_tool_culture_contrast,core,0,0,0,0,0,not_yet_covered,targeted_literature_search
GOR,Gorilla spp.,gorillas,Primates,ape_phylogenetic_control,core,0,0,0,0,0,not_yet_covered,targeted_literature_search
CAP,Sapajus spp.,capuchin_monkeys,Primates,independent_primate_tool_traditions,core,0,0,0,0,0,not_yet_covered,targeted_literature_search
MAC,Macaca spp.,macaques,Primates,social_learning_traditions,extended,0,0,0,0,0,not_yet_covered,targeted_literature_search
MAR,Callitrichidae,marmosets_and_tamarins,Primates,cooperative_breeding_teaching,extended,0,0,0,0,0,not_yet_covered,targeted_literature_search
CME,Corvus moneduloides,New_Caledonian_crow,Aves,convergent_tool_cognition,core,1,5,3,2,0,seed_evidence_present,expand_and_code_modules
CRA,Corvus corax,common_raven,Aves,convergent_social_cognition,core,1,2,3,0,0,seed_evidence_present,expand_and_code_modules
KEA,Nestor notabilis,kea,Aves,parrot_innovation_play,core,0,0,0,0,0,not_yet_covered,targeted_literature_search
CGO,Cacatua goffiniana,Goffins_cockatoo,Aves,parrot_tool_innovation,core,0,0,0,2,0,seed_evidence_present,expand_and_code_modules
PER,Psittacus erithacus,African_grey_parrot,Aves,communication_cognition,core,0,0,0,0,0,not_yet_covered,targeted_literature_search
MUN,Melopsittacus undulatus,budgerigar,Aves,vocal_learning_neural_convergence,extended,0,0,0,0,0,not_yet_covered,targeted_literature_search
TTR,Tursiops truncatus,bottlenose_dolphin,Cetacea,culture_vocal_social_aquatic,core,0,0,0,0,1,not_yet_covered,targeted_literature_search
OOR,Orcinus orca,killer_whale,Cetacea,cultural_repertoire_social_structure,core,1,10,4,0,1,seed_evidence_present,expand_and_code_modules
PMA,Physeter macrocephalus,sperm_whale,Cetacea,clan_vocal_culture,extended,1,3,3,0,1,seed_evidence_present,expand_and_code_modules
MNO,Megaptera novaeangliae,humpback_whale,Cetacea,song_cultural_transmission,extended,1,3,3,0,1,seed_evidence_present,expand_and_code_modules
LAF,Loxodonta africana,African_elephant,Proboscidea,long_life_social_memory,core,1,2,2,1,0,seed_evidence_present,expand_and_code_modules
EMA,Elephas maximus,Asian_elephant,Proboscidea,long_life_manipulation,extended,0,0,0,0,0,not_yet_covered,targeted_literature_search
OVU,Octopus vulgaris,common_octopus,Cephalopoda,cognition_manipulation_short_life,core,0,0,0,0,0,not_yet_covered,targeted_literature_search
BTE,Bombus terrestris,buff_tailed_bumblebee,Hymenoptera,social_learning_small_brain,core,0,0,0,1,0,seed_evidence_present,expand_and_code_modules
AME,Apis mellifera,honeybee,Hymenoptera,collective_information_external_structure,core,1,1,1,1,0,seed_evidence_present,expand_and_code_modules
CLI,Columba livia,rock_pigeon,Aves,cumulative_route_experiment,extended,0,0,0,0,0,not_yet_covered,targeted_literature_search
SSU,Suricata suricatta,meerkat,Carnivora,teaching_without_open_ended_culture,core,0,0,0,0,0,not_yet_covered,targeted_literature_search
