provider,stratum,query_index,query,source_rank,provider_id,doi,title,year,type,venue_or_topic,rejection_reasons
openalex,conflict_security,1,intergroup competition intragroup cooperation,4,https://openalex.org/W2029585615,10.1002/ejsp.2420050102,Social comparison and social identity: Some prospects for intergroup behaviour,1975,article,Social and Intergroup Psychology,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,5,https://openalex.org/W2133229155,10.1207/s15327957pspr0702_129-145,"Intergroup Conflict: Individual, Group, and Collective Interests",2003,article,Social and Intergroup Psychology,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,6,https://openalex.org/W2100789707,10.1111/j.1467-9280.2008.02100.x,“In-Group Love” and “Out-Group Hate” as Motives for Individual Participation in Intergroup Conflict,2008,article,Experimental Behavioral Economics Studies,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,7,https://openalex.org/W1487777840,10.2307/2803426,Coalitions and Alliances in Humans and Other Animals.,1993,article,Primate Behavior and Ecology,missing_anchor_group:intergroup;missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,8,https://openalex.org/W4236805152,10.1037/e473742008-204,"The Effects of Intergroup Competition, Personal Drinking Habits, and Frustration on Intragroup Cooperation",1968,dataset,Behavioral Health and Interventions,type_not_allowed:dataset
openalex,conflict_security,1,intergroup competition intragroup cooperation,9,https://openalex.org/W2045972241,10.1108/eb022747,THE ENHANCING EFFECT OF INTERGROUP COMPETITION ON GROUP PERFORMANCE,1994,article,Experimental Behavioral Economics Studies,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,10,https://openalex.org/W2022194012,10.1016/j.econlet.2006.12.031,Team competition and the public goods game,2007,article,Experimental Behavioral Economics Studies,missing_anchor_group:intergroup;missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,13,https://openalex.org/W1969333510,10.1002/1099-0992(200011/12)30:6<745::aid-ejsp24>3.0.co;2-o,"Social identity theory: past achievements, current problems and future challenges",2000,article,Social and Intergroup Psychology,missing_anchor_group:intergroup;missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,14,https://openalex.org/W1881549307,10.5465/amj.2008.35732995,"Facing Differences With an Open Mind: Openness to Experience, Salience of Intragroup Differences, and Performance of Diverse Work Groups",2008,article,Gender Diversity and Inequality,missing_anchor_group:intergroup
openalex,conflict_security,1,intergroup competition intragroup cooperation,15,https://openalex.org/W2166482033,10.1098/rstb.2011.0301,Evolution and the psychology of intergroup conflict: the male warrior hypothesis,2012,article,Evolutionary Game Theory and Cooperation,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,16,https://openalex.org/W2794158451,10.1111/ele.12933,Intragroup competition predicts individual foraging specialisation in a group‐living mammal,2018,article,Wildlife Ecology and Conservation,missing_anchor_group:intergroup
openalex,conflict_security,1,intergroup competition intragroup cooperation,17,https://openalex.org/W2155058526,10.1017/s0140525x1400106x,Cultural group selection plays an essential role in explaining human cooperation: A sketch of the evidence,2014,article,Evolutionary Game Theory and Cooperation,missing_anchor_group:intergroup;missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,18,https://openalex.org/W2161183769,10.1093/beheco/arp181,Evolutionary forces favoring intragroup coalitions among spotted hyenas and other animals,2010,article,Primate Behavior and Ecology,missing_anchor_group:intergroup
openalex,conflict_security,1,intergroup competition intragroup cooperation,19,https://openalex.org/W2116750838,10.5465/amr.2010.0221,Intergroup Leadership in Organizations: Leading Across Group and Organizational Boundaries,2012,article,Gender Diversity and Inequality,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,20,https://openalex.org/W1977594210,10.1016/j.jesp.2015.04.008,“Ingroup love” and “outgroup hate” in intergroup conflict between natural groups,2015,article,Social and Intergroup Psychology,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,21,https://openalex.org/W2087032529,10.1016/j.evolhumbehav.2009.02.004,Social exchange and solidarity: in-group love or out-group hate?,2009,article,Social and Intergroup Psychology,missing_anchor_group:intergroup;missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,23,https://openalex.org/W2047358923,10.1002/ejsp.2420090207,Social comparison and group interest in ingroup favouritism,1979,article,Social and Intergroup Psychology,missing_anchor_group:intergroup;missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,24,https://openalex.org/W2130245115,10.3758/brm.41.3.957,Cooperation versus competition in a mass emergency evacuation: A new laboratory simulation and a new theoretical model,2009,article,Evacuation and Crowd Dynamics,missing_anchor_group:intergroup;missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,25,https://openalex.org/W63801938,,LEARNING THROUGH PLAYING FOR OR AGAINST EACH OTHER? PROMOTING COLLABORATIVE LEARNING IN DIGITAL GAME BASED LEARNING,2012,conference-paper,Educational Games and Gamification,type_not_allowed:conference-paper;missing_anchor_group:intergroup;missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,26,https://openalex.org/W2067369167,10.2307/3094912,The Ripple Effect: Emotional Contagion and its Influence on Group Behavior,2002,article,Team Dynamics and Performance,missing_anchor_group:intergroup;missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,27,https://openalex.org/W2152126086,10.1017/s0140525x14001356,The cultural evolution of prosocial religions,2014,article,Evolutionary Game Theory and Cooperation,missing_anchor_group:intergroup;missing_anchor_group:intragroup|within group
