test_id,candidate_condition,candidate_event,target_capability,target_event,temporal_relation,naive_necessity_status,strength,reason
TF01,anatomical_Homo_sapiens,HM11,deliberate_stone_tool_production,HM01,target_securely_predates_candidate,rejected_as_observable_necessity,high,"Lomekwi technology predates currently known Homo sapiens morphology by roughly 3 Myr."
TF02,anatomical_Homo_sapiens,HM11,hierarchical_bifacial_technology,HM02,target_securely_predates_candidate,rejected_as_observable_necessity,high,"Acheulean technology predates early H. sapiens by >1 Myr."
TF03,anatomical_Homo_sapiens,HM11,in_situ_fire_use,HM03,target_securely_predates_candidate,rejected_as_observable_necessity,high,"Secure in-situ fire evidence predates early H. sapiens."
TF04,anatomical_Homo_sapiens,HM11,hafted_composite_weapon,HM06,target_securely_predates_candidate,rejected_as_observable_necessity,medium_high,"Kathu Pan hafting evidence predates Jebel Irhoud H. sapiens."
TF05,anatomical_Homo_sapiens,HM11,structural_wood_construction,HM07,target_securely_predates_candidate,rejected_as_observable_necessity,high,"Kalambo structural woodworking predates Jebel Irhoud H. sapiens."
TF06,anatomical_Homo_sapiens,HM11,geometric_engraving_capacity,HM05,target_securely_predates_candidate,rejected_as_observable_necessity,medium_high,"Trinil H. erectus engraving predates H. sapiens; symbolic meaning is not required for this falsifier."
TF07,habitual_ochre_use,HM12,hafted_composite_weapon,HM06,target_securely_predates_candidate,rejected_as_observable_necessity,medium,"Composite weapon evidence predates the continent-scale habitual ochre phase."
TF08,personal_ornament_tradition,HM13,long_distance_material_networks,HM10,target_securely_predates_candidate,rejected_as_observable_necessity,high,"Long-distance obsidian procurement predates earliest currently known shell beads."
TF09,personal_ornament_tradition,HM13,structural_wood_construction,HM07,target_securely_predates_candidate,rejected_as_observable_necessity,high,"Large combined wooden construction predates shell bead evidence by >300 kyr."
TF10,deliberate_fire_making,HM09,structural_wood_construction,HM07,target_securely_predates_candidate,rejected_as_specific_observable_necessity,medium,"Kalambo construction predates the current earliest secure fire-making claim; this does not mean fire use/control was absent."
TF11,long_distance_exchange_proxy,HM10,hafted_composite_weapon,HM06,target_securely_predates_candidate,not_established_as_necessity,low_medium,"Current earliest secure long-distance procurement evidence is younger, but exchange has severe archaeological visibility limits."
TF12,geometric_engraving_capacity,HM05,open_ended_cumulative_culture,,candidate_precedes_target_but_target_not_directly_dated,not_sufficient,medium,"H. erectus engraving capacity existed hundreds of kyr before later open-ended human cultural systems; presence alone is not sufficient."
TF13,fire_control,HM03,open_ended_cumulative_culture,,candidate_precedes_target_by_large_margin,not_sufficient,medium_high,"Fire use existed vastly earlier than the later explosion of cross-domain cumulative cultural complexity."
TF14,stone_tool_production,HM01,open_ended_cumulative_culture,,candidate_precedes_target_by_large_margin,not_sufficient,high,"Stone tool production persisted for millions of years without evidence of human-like open-ended cultural expansion."
