person_id,canonical_name,openalex_work_id,publication_year,title,work_decision,include_in_network,canonical_work_id,decision_evidence,reviewer,adjudication_status,mh_blinded_at_work_lock,review_date
cv_Q1839062,Torkel Franzén,W2006339381,1987,Algorithmic aspects of intuitionistic propositional logic II,KEEP_ORIGINAL,true,W2006339381,"Chronology, subject matter and bibliography are concordant with Torkel Franzén's logic/AKL/Gödel research; retained as an independent focal work.",ARIS4C 000 pre-exposure full-work review,first-review-locked,true,2026-09-19
cv_Q1839062,Torkel Franzén,W287118772,1987,Provability and truth,KEEP_ORIGINAL,true,W287118772,"Chronology, subject matter and bibliography are concordant with Torkel Franzén's logic/AKL/Gödel research; retained as an independent focal work.",ARIS4C 000 pre-exposure full-work review,first-review-locked,true,2026-09-19
cv_Q1839062,Torkel Franzén,W117430941,1988,Logic programming and the intuitionistic sequent calculus,KEEP_ORIGINAL,true,W117430941,"Chronology, subject matter and bibliography are concordant with Torkel Franzén's logic/AKL/Gödel research; retained as an independent focal work.",ARIS4C 000 pre-exposure full-work review,first-review-locked,true,2026-09-19
cv_Q1839062,Torkel Franzén,W35146322,1991,Logical aspects of the Andorra Kernal Language,KEEP_ORIGINAL,true,W35146322,"Chronology, subject matter and bibliography are concordant with Torkel Franzén's logic/AKL/Gödel research; retained as an independent focal work.",ARIS4C 000 pre-exposure full-work review,first-review-locked,true,2026-09-19
cv_Q1839062,Torkel Franzén,W1981368022,1992,An Intuitionistic Predicate Logic Theorem Prover,KEEP_ORIGINAL,true,W1981368022,"Chronology, subject matter and bibliography are concordant with Torkel Franzén's logic/AKL/Gödel research; retained as an independent focal work.",ARIS4C 000 pre-exposure full-work review,first-review-locked,true,2026-09-19
cv_Q1839062,Torkel Franzén,W40577789,1993,Concurrent Constraint Programming at SICS with the Andorra Kernel Language (Extended Abstract).,KEEP_ORIGINAL,true,W40577789,"Chronology, subject matter and bibliography are concordant with Torkel Franzén's logic/AKL/Gödel research; retained as an independent focal work.",ARIS4C 000 pre-exposure full-work review,first-review-locked,true,2026-09-19
cv_Q1839062,Torkel Franzén,W19844146,1994,Some Formal Aspects of AKL,KEEP_ORIGINAL,true,W19844146,"Chronology, subject matter and bibliography are concordant with Torkel Franzén's logic/AKL/Gödel research; retained as an independent focal work.",ARIS4C 000 pre-exposure full-work review,first-review-locked,true,2026-09-19
cv_Q1839062,Torkel Franzén,W1959104635,1996,A theorem-proving approach to deciding properties of finite control agents,KEEP_ORIGINAL,true,W1959104635,"Chronology, subject matter and bibliography are concordant with Torkel Franzén's logic/AKL/Gödel research; retained as an independent focal work.",ARIS4C 000 pre-exposure full-work review,first-review-locked,true,2026-09-19
cv_Q1839062,Torkel Franzén,W2886572672,2004,Inexhaustibility: A Non-Exhaustive Treatment: Lecture Notes in Logic 16,KEEP_ORIGINAL,true,W2886572672,"Chronology, subject matter and bibliography are concordant with Torkel Franzén's logic/AKL/Gödel research; retained as an independent focal work.",ARIS4C 000 pre-exposure full-work review,first-review-locked,true,2026-09-19
cv_Q1839062,Torkel Franzén,W1977614750,2004,Transfinite Progressions: A Second Look at Completeness,KEEP_ORIGINAL,true,W1977614750,"Chronology, subject matter and bibliography are concordant with Torkel Franzén's logic/AKL/Gödel research; retained as an independent focal work.",ARIS4C 000 pre-exposure full-work review,first-review-locked,true,2026-09-19
cv_Q1839062,Torkel Franzén,W1534223153,2005,An overview of the Andorra Kernel Language,KEEP_ORIGINAL,true,W1534223153,"Chronology, subject matter and bibliography are concordant with Torkel Franzén's logic/AKL/Gödel research; retained as an independent focal work.",ARIS4C 000 pre-exposure full-work review,first-review-locked,true,2026-09-19
cv_Q1839062,Torkel Franzén,W2889539354,2005,Gödel's theorem,KEEP_ORIGINAL,true,W2889539354,"Chronology, subject matter and bibliography are concordant with Torkel Franzén's logic/AKL/Gödel research; retained as an independent focal work.",ARIS4C 000 pre-exposure full-work review,first-review-locked,true,2026-09-19
cv_Q1839062,Torkel Franzén,W2802573461,2006,The popular impact of Gödel's incompleteness theorem,KEEP_ORIGINAL,true,W2802573461,"Chronology, subject matter and bibliography are concordant with Torkel Franzén's logic/AKL/Gödel research; retained as an independent focal work.",ARIS4C 000 pre-exposure full-work review,first-review-locked,true,2026-09-19
