record_id,title,field,coder_a,coder_b,adjudicated_value,adjudication_rationale,diagnosis_type,diagnosis_rationale,source_review_required
P01,Intergroup Competition Promotes Intragroup Cooperation: A Meta-Analysis of Social Dilemmas,primary_mechanism,level-switch/interdependence,level_switch,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P01,Intergroup Competition Promotes Intragroup Cooperation: A Meta-Analysis of Social Dilemmas,evidence_mode,meta-analysis,meta_analysis,,,lexical_token_vocabulary_mismatch,separator/case normalization makes labels identical,no
P01,Intergroup Competition Promotes Intragroup Cooperation: A Meta-Analysis of Social Dilemmas,causal_claim_strength,high within included experimental paradigms,strong,,,lexical_token_vocabulary_mismatch,free-text causal-strength wording collapses to Coder B ordinal token,no
P01,Intergroup Competition Promotes Intragroup Cooperation: A Meta-Analysis of Social Dilemmas,result_support,support,yes,,,lexical_token_vocabulary_mismatch,free-text result label maps directly to Coder B coarse token,no
P02,"Intergroup conflict: individual, group, and collective interests",primary_mechanism,multilevel social dilemma,level_switch,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P02,"Intergroup conflict: individual, group, and collective interests",evidence_mode,review,conceptual,,,source_metadata_disagreement,evidence-mode classification differs beyond token formatting,yes
P02,"Intergroup conflict: individual, group, and collective interests",evidence_tier,NA-review,E0,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P02,"Intergroup conflict: individual, group, and collective interests",causal_claim_strength,theoretical,moderate,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P02,"Intergroup conflict: individual, group, and collective interests",result_support,mixed/theoretical,not_tested,,,genuine_conceptual_disagreement,result-direction judgment differs after coarse crosswalk,yes
P03,Deterrence and International Conflict: Empirical Findings and Theoretical Debates,oci_candidate,yes,no,,,genuine_conceptual_disagreement,construct/index-switch judgment differs,yes
P03,Deterrence and International Conflict: Empirical Findings and Theoretical Debates,primary_mechanism,strategic deterrence,strategic_feedback,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P03,Deterrence and International Conflict: Empirical Findings and Theoretical Debates,evidence_tier,NA-review,E2,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P03,Deterrence and International Conflict: Empirical Findings and Theoretical Debates,causal_claim_strength,conditional,moderate,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P03,Deterrence and International Conflict: Empirical Findings and Theoretical Debates,result_support,conditional_support,not_tested,,,genuine_conceptual_disagreement,result-direction judgment differs after coarse crosswalk,yes
P04,Domestic Discontent and the External Use of Force,opposition_valid,uncertain,no,,,genuine_conceptual_disagreement,construct/index-switch judgment differs,yes
P04,Domestic Discontent and the External Use of Force,primary_mechanism,diversionary conflict,none,,,genuine_conceptual_disagreement,Coder A assigns a mechanism while Coder B assigns none,yes
P04,Domestic Discontent and the External Use of Force,actor_switch,yes,no,,,genuine_conceptual_disagreement,construct/index-switch judgment differs,yes
P04,Domestic Discontent and the External Use of Force,evidence_tier,E1/E2,E2,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P04,Domestic Discontent and the External Use of Force,causal_claim_strength,conditional/observational,weak,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P04,Domestic Discontent and the External Use of Force,result_support,mixed,no,,,genuine_conceptual_disagreement,result-direction judgment differs after coarse crosswalk,yes
P05,The Security Dilemma: A Conceptual Analysis,primary_mechanism,strategic equilibrium feedback,strategic_feedback,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
