person_id,canonical_name,identity_status,verified_openalex_ids,cluster_completeness,known_work_match_n,topic_field_match,career_timing_match,conflicting_orcid,adjudication_status,notes
cv_Q1621300,Konrad Oberhuber,VERIFIED_SINGLE,A5058100809,not_applicable,1,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: art-historian authority and contemporaneous art-history works concordant.
cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,A5054956965,not_applicable,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: NASA/planetary-science identity and crystal-growth/microgravity works concordant; mixed namesake work contamination requires P3 filtering.
cv_Q15488589,Ulrike Toellner-Bauer,VERIFIED_SINGLE,A5081671680,not_applicable,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: university-teacher authority and intensive-care nursing/quality-control works concordant.
cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,A5036562220,not_applicable,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: mathematical-logic authority and Gödel/incompleteness works concordant; posthumous manifestations require P3 filtering.
cv_Q313061,Aurel Stein,VERIFIED_SINGLE,A5052982479,not_applicable,2,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: authority notable work Serindia and exact OpenAlex Serindia/Ancient Khotan records concordant.
cv_Q4937482,Bogdan Zakrzewski,VERIFIED_SINGLE,A5111381182,not_applicable,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: Polish literary-historian authority and lifetime literary-history works concordant.
cv_Q1577507,Hans-Joachim Weimann,AMBIGUOUS_COLLISION,,,0,false,false,false,collision-unresolved-first-review,MH-blind first review: sole 2000 Bildschirmarbeitsverordnung record lacks a sufficiently strong bibliographic/institutional anchor to the forestry historian/computer-science authority identity.
cv_Q1737527,Kazimierz Urbanik,VERIFIED_SINGLE,A5049949184,not_applicable,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: probability/mathematics authority and lifetime probability works concordant.
cv_Q57447297,Thomas Aisu,VERIFIED_SINGLE,A5109195156,not_applicable,2,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: Ugandan physician authority and tuberculosis/HIV public-health works concordant.
cv_Q23059458,Minoo Lenarz,VERIFIED_SINGLE,A5073627948,not_applicable,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: otolaryngology authority and cochlear-implant/auditory-implant works concordant; probable namesake work requires P3 filtering.
