taxon,evidence_scope,trait_family,trait_name,evidence_state,context,claim,source,doi_or_url,year,confidence,notes
Pan troglodytes,exact_species,social_transmission,supra_individual_skill_acquisition,positive,captive,Naive chimpanzees acquired a sequential puzzle-box skill socially after failing to innovate it during a preceding three-month baseline.,van Leeuwen et al.,10.1038/s41562-024-01836-5,2024,high,Supports O3; does not establish open-ended cumulative culture.
Bombus terrestris,exact_species,social_transmission,supra_individual_skill_acquisition,positive,captive,Observer bumblebees learned a two-step box solution from demonstrators after naive bees failed despite extended exposure.,Bridges et al.,10.1038/s41586-024-07126-4,2024,high,Strong counterexample to treating socially acquired non-reinnovatable skill as human-unique.
Apis mellifera,exact_species,social_transmission,waggle_dance_learning,positive,captive_colony,"Young honey bees without normal tutor exposure showed persistent dance errors, supporting a social-learning component in signal development.",Dong et al.,10.1126/science.ade1702,2023,high,Communication learning; not equivalent to language.
Corvus moneduloides,exact_species,manipulation,pandanus_tool_manufacture,positive,wild,"Geographic variation in pandanus tool design has been interpreted as compatible with cumulative change, though transmission mechanisms remain debated.",Hunt & Gray,10.1098/rspb.2002.2302,2003,medium,Important contested case; inherited action patterns and individual learning are alternative contributors.
Corvus moneduloides,exact_species,social_transmission,tool_development_scaffolding,positive,wild,Juveniles take more than a year to reach adult pandanus-tool proficiency and have opportunities to learn from parents and artifacts.,Holzhaider et al.,10.1098/rspb.2010.0690,2010,medium,Supports scaffolded development; does not prove high-fidelity imitation.
Cacatua goffiniana,exact_species,manipulation,innovative_tool_manufacture,positive,captive,Goffin cockatoos can socially acquire tool-use competence and some observers subsequently manufactured tools.,Auersperg et al.,10.1098/rspb.2014.0972,2014,high,Transmission appears more consistent with emulation than exact imitation.
Cacatua goffiniana,exact_species,manipulation,composite_tool_innovation,positive,captive,Goffin cockatoos innovated a composite tool solution requiring coordinated use of two objects.,Osuna-Mascaró et al.,10.1038/s41598-022-05529-9,2022,high,Shows sophisticated embodied problem solving outside primates.
Loxodonta africana,exact_species,communication,population_social_group_vocal_variation,positive,wild,Wild female elephant rumbles differed by population and subtly by social group; social group predicted call similarity better than genetic relatedness.,Pardo et al.,10.1098/rsos.241264,2024,medium_high,Suggests learned vocal variation; authors do not claim definitive proof of vocal production learning.
Cetacea,clade_comparative,social_architecture,brain_social_cultural_breadth_association,positive,comparative,"Across cetaceans, encephalization covaried with social structure and brain size predicted breadth of social/cultural behaviours.",Fox et al.,10.1038/s41559-017-0336-y,2017,medium_high,Comparative association; not causal proof.
Homo sapiens,exact_species,outcome,open_ended_culture,positive,comparative_theory,A 2025 perspective argues cumulative change and high-fidelity transmission are not uniquely human and proposes open-endedness as the stronger distinction.,Morgan & Feldman,10.1038/s41562-024-02035-y,2025,medium_high,Defines the target hypothesis rather than supplying a species-level measurement.
Pongo spp.,genus_exemplar,social_transmission,geographic_cultural_repertoire,positive,wild_comparative,"Orangutan populations showed geographic behavioral variation; cultural difference tracked geographic distance and opportunities for social learning tracked repertoire size, while habitat did not explain cultural content.",van Schaik et al.,10.1126/science.1078004,2003,medium_high,Genus-level exemplar evidence; observational method-of-exclusion logic rather than experimental transmission.
Gorilla spp.,genus_exemplar,social_transmission,potential_cultural_traits,positive,wild_comparative,"Across five gorilla study sites, 23 of 41 behaviors met criteria for potential cultural traits and behavioral dissimilarity increased with geographic distance.",Robbins et al.,10.1371/journal.pone.0160483,2016,medium,Authors explicitly state that further work is needed to establish social learning.
Sapajus spp.,genus_exemplar,externalization,long_term_stone_tool_record,positive,wild_archaeology,"Excavated Sapajus libidinosus stone tools document roughly 3,000 years of tool use and changes in food-processing technology over time.",Falótico et al.,10.1038/s41559-019-0904-4,2019,high,Exact evidence is S. libidinosus; pilot row is genus-level.
Macaca spp.,genus_exemplar,innovation,food_cleaning_latent_solutions,mixed,captive,"Culturally naive Japanese macaques did not spontaneously wash potatoes in the experiment, but several independently produced other food-cleaning techniques.",Fiore et al.,10.1159/000506127,2020,high,Useful falsification case: some putatively cultural forms may be individually re-innovatable while specific washing behavior was not observed.
Callitrichidae,family_exemplar,social_transmission,food_offering_calls_learning,positive,wild_playback,Golden lion tamarin juveniles exposed to food-offering calls showed immediate and six-month learning effects for a novel foraging substrate.,Troisi et al.,10.1007/s10764-018-0069-z,2018,medium_high,Consistent with teaching but does not by itself prove that teaching is the evolved function of the calls.
Callitrichidae,family_exemplar,social_architecture,cooperation_tolerance_partner_choice,positive,captive,"In common marmosets, successful coordinated cooperation was positively associated with prosociality, social tolerance and partner choice.",Martin et al.,10.1016/j.anbehav.2020.12.016,2021,high,Family exemplar for cooperative social architecture.
Nestor notabilis,exact_species,social_transmission,demonstration_aided_sequence_solving,positive,captive,"Kea that observed a conspecific demonstration were more likely to solve a two-step apparatus, but successful birds often used non-demonstrated solutions and showed low copying fidelity.",Suwandschieff et al.,10.1007/s10336-023-02127-y,2024,high,Strong dissociation between benefiting from social information and faithful motor imitation.
Psittacus erithacus,exact_species,communication,referential_vocal_label_learning,positive,captive,Grey parrots learned referential English labels in interactive social training paradigms that modeled label functionality and reference.,Pepperberg et al.,10.1037/0735-7036.114.4.371,2000,high,"Human-mediated training; evidence for socially scaffolded vocal/referential learning, not human language equivalence."
