scientific_name,retrieval_rank,paper_id,title,screening_status
Aldabrachelys gigantea,1,pmcid:PMC8666907,The origins of human cumulative culture: from the foraging niche to collective intelligence.,pending
Aldabrachelys gigantea,2,pmcid:PMC3559591,Basis for cumulative cultural evolution in chimpanzees: social learning of a more efficient tool-use technique.,pending
Aldabrachelys gigantea,3,pmid:18204869,Chimpanzees (Pan troglodytes) and the question of cumulative culture: an experimental approach.,pending
Aldabrachelys gigantea,4,pmcid:PMC8666913,Complex foraging behaviours in wild birds emerge from social learning and recombination of components.,pending
Aldabrachelys gigantea,5,pmcid:PMC13229230,Semantic knowledge guides innovation and drives cultural evolution.,pending
Aldabrachelys gigantea,6,pmcid:PMC1564214,Faithful replication of foraging techniques along cultural transmission chains by chimpanzees and children.,pending
Aldabrachelys gigantea,7,arxiv:2510.12837,Semantic knowledge guides innovation and drives cultural evolution,pending
Aldabrachelys gigantea,8,pmcid:PMC4594425,The spread of a novel behavior in wild chimpanzees: New insights into the ape cultural mind.,pending
Aldabrachelys gigantea,9,arxiv:2603.16910,TerraLingua: Emergence and Analysis of Open-endedness in LLM Ecologies,pending
Aldabrachelys gigantea,10,pmid:20619805,Animal traditions: experimental evidence of learning by imitation in an unlikely animal.,pending
Aldabrachelys gigantea,11,pmcid:PMC6191692,Wild chimpanzees select tool material based on efficiency and knowledge.,pending
Aldabrachelys gigantea,12,pmid:38994632,From buzz to brilliance: how bees shape social learning and cultural evolution.,pending
Aldabrachelys gigantea,13,pmid:32589911,"Integrating Genetic, Environmental, and Social Networks to Reveal Transmission Pathways of a Dolphin Foraging Innovation.",pending
Aldabrachelys gigantea,14,pmid:35139964,Tradition and invention: The bifocal stance theory of cultural evolution.,pending
Aldabrachelys gigantea,15,pmid:12898285,Cultural innovation and transmission of tool use in wild chimpanzees: evidence from field experiments.,pending
Aldabrachelys gigantea,16,pmid:20602132,Leaf swallowing behavior in chimpanzees (Pan troglodytes): biased learning and the emergence of group level cultural differences.,pending
Aldabrachelys gigantea,17,pmid:29098655,Raising the bar on studying cultural evolution.,pending
Aldabrachelys gigantea,18,arxiv:1811.09588,"Social Innovation and the Evolution of Creative, Sustainable Worldviews",pending
Aldabrachelys gigantea,19,pmid:41207551,Cultural accumulation or stasis? The impact of imitation and early teaching on hominin cultural evolution.,pending
Aldabrachelys gigantea,20,pmcid:PMC7944107,Social network architecture and the tempo of cumulative cultural evolution,pending
Aldabrachelys gigantea,21,pmid:20605459,Imitation and traditions in wild banded mongooses.,pending
Aldabrachelys gigantea,22,pmcid:PMC7944091,Human biases limit cumulative innovation.,pending
Aldabrachelys gigantea,23,pmcid:PMC7048420,Hunter-gatherer multilevel sociality accelerates cumulative cultural evolution.,pending
