scientific_name,module_id,evidence_state,evidence_scope,source_id,doi,trait_name,year,claim_limit
Acris crepitans,C,positive,exact_species_experiment,pmcid:PMC5617642,10.1111/eth.12602,advertisement-call discrimination and response,2017,Direct acoustic communication evidence; not vocal production learning or compositional signalling.
Birgus latro,C,positive_proxy,exact_species,pmid:31634694,10.1016/j.zool.2019.125710,sound production,2019,Direct acoustic-signal production is established; communicative function/complexity is more limited than symbolic or learned signalling.
Hyla versicolor,C,positive,exact_species_experiment,pmid:12784054,10.1159/000070700,socially modulated advertisement calling,2003,Direct social acoustic communication evidence; not vocal production learning.
Nephila clavipes,A,positive_proxy,exact_species_experiment,pmid:25164624,10.1007/s10071-014-0801-9,prey-count tracking / numerosity-like memory,2015,Supports quantity-sensitive memory/representation; not a general generative-cognition score.
Nephila clavipes,A,positive_proxy,exact_species_field_experiment,pmid:23771493,10.1007/s10071-013-0651-x,experience-dependent risk avoidance,2014,Supports learning from prior predator/ant interaction; not cross-domain flexibility.
Nephila clavipes,E,positive,exact_species_or_current_synonym,pmcid:PMC7716925,10.1007/s00114-020-01708-8,orb-web construction under altered gravity,2021,Webs are persistent externalized structures; this is not evidence of cumulative cultural construction.
Paraponera clavata,C,positive_proxy,exact_species_field,pmid:28313225,10.1007/BF00317846,resource recruitment,1992,Direct recruitment communication/coordination evidence; signalling channel is not resolved here as symbolic/compositional.
Paraponera clavata,F,measured_context,exact_species_colony,doi:10.1101/2022.07.03.498617,10.1101/2022.07.03.498617,colony rest and relocation dynamics,2022,Measures collective social organization during relocation; preprint and not evidence of human-like distributed cognition.
Periplaneta americana,A,positive_proxy,exact_species_experiment,pmid:14668320,10.1242/jeb.00736,associative learning and retention,2004,Direct learning/memory evidence; one associative paradigm is not sufficient for broad generative cognition.
Periplaneta americana,C,positive,exact_species_experiment,pmid:26313978,10.1093/ee/nvv035,chemical aggregation signals,2015,Direct intraspecific chemical communication evidence.
Periplaneta americana,F,positive_proxy,exact_species_group_experiment,pmcid:PMC10325095,10.1371/journal.pone.0287845,collective decision memory in shelter choice,2023,Demonstrates persistent group-level decision dynamics/collective memory; not culturally distributed knowledge.
Porcellio laevis,A,measured_context,exact_species_experiment,pmid:24954552,,turn alternation modulated by predator cues,2014,Direct context-sensitive behavioral adjustment; too narrow to count as generative cognition without additional evidence.
