scientific_name,module_id,evidence_state,evidence_scope,source_id,doi,trait_name,year,claim_limit
Balaenoptera musculus,C,positive,exact_species,pmcid:PMC6124089,10.1098/rsos.180241,context-dependent blue-whale acoustic communication,2018,Direct call-production/context evidence; not proof of socially learned song culture.
Eschrichtius robustus,C,positive,exact_species,pmid:8817910,10.1121/1.416006,gray-whale acoustic repertoire along migration,1996,Direct acoustic communication evidence; not social-learning evidence.
Eubalaena australis,C,positive,exact_species,pmid:27914379,10.1121/1.4962231,mother-calf vocal repertoire,2016,Direct acoustic communication evidence; not vocal production learning.
Eubalaena glacialis,C,positive,exact_species,pmid:31370578,10.1121/1.5115332,calving-ground acoustic behavior,2019,Direct acoustic behavior evidence; not evidence for cumulative vocal culture.
Galerella sanguinea,F,measured_context,exact_species_field,pmcid:PMC6549956,10.1098/rsos.182160,social organization of a solitary carnivore,2019,"Direct social-architecture measurement; solitary structure is a measured low-sociality context, not absence of all social cognition."
Melursus ursinus,A,positive_proxy,exact_species_comparative_experiment,pmid:28650183,10.1037/com0000077,spatial transposition / representation of nonvisible displacement,2017,Direct spatial-cognition evidence; not broad generative problem solving.
Panthera tigris,F,measured_context,exact_species_captive_group,pmid:19360607,10.1002/zoo.20162,long-term social behavior in six female tigers,2008,Captive social-architecture context; not evidence of natural cooperative social structure.
Leptonychotes weddellii,C,positive,exact_species,pmid:15376691,,structured underwater vocal repertoire / repeated call elements,2004,Direct acoustic communication evidence; not vocal production learning.
Hyaena brunnea,C,positive_proxy,exact_species_field,doi:10.1080/02541858.1980.11447718,10.1080/02541858.1980.11447718,scent marking / pasting communication,1980,Direct chemical social signalling evidence; not symbolic or learned communication.
Hyaena brunnea,F,positive,exact_species_field,doi:10.1111/j.1365-2028.1979.tb00454.x,10.1111/j.1365-2028.1979.tb00454.x,communal denning and clan associations,1979,Direct clan/social-organization evidence; not equivalent to large multilevel societies.
Poecilia reticulata,A,positive,exact_species_experiment,pmid:10049472,10.1006/anbe.1998.0967,foraging innovation,1999,Direct innovation evidence; not a global intelligence score.
Poecilia reticulata,B,positive,exact_species_experiment,pmid:9236013,10.1006/anbe.1996.0318,social learning of foraging routes,1997,Direct social learning; long-term stable tradition is a separate outcome.
Poecilia reticulata,C,positive_proxy,exact_species_experiment,pmid:20646155,10.1111/j.1095-8649.2010.02688.x,visual courtship ornament/display receiver preference,2010,Supports visual signalling and receiver sensitivity in courtship; not referential/compositional communication.
Poecilia reticulata,F,positive_proxy,exact_species_group_experiment,pmcid:PMC5719178,10.1098/rspb.2017.2020,social network structure and social information acquisition,2017,Direct group-network/social information evidence; not high-level cooperation.
Dendrobates pumilio,A,positive_proxy,current_name_Oophaga_pumilio_field_experiment,pmid:41537843,10.1098/rspb.2025.2310,visual homing/navigation after displacement,2025,Direct Oophaga pumilio spatial-navigation evidence; operational name Dendrobates pumilio is retained with taxonomic crosswalk.
Desmodus rotundus,B,positive,exact_species_experiment,pmcid:PMC6030285,10.1098/rsos.172483,social learning of maze exit from demonstrator with retention,2018,Demonstrator presence increased naive exit rates and most successful observers retained the solution after demonstrator removal.
Desmodus rotundus,F,positive,exact_species_field,pmcid:PMC8460024,10.1371/journal.pbio.3001366,long-term cooperative relationships predict social foraging,2021,Strong cooperative/social-network evidence; not culturally distributed cognition.
Gasterosteus aculeatus,B,positive,exact_species_experiment,pmcid:PMC9988244,10.1111/eth.12590,social learning from demonstrators,2017,Direct social-learning evidence; persistence across generations not established.
Gasterosteus aculeatus,D,positive_proxy,exact_species_experiment,pmcid:PMC4020685,10.1002/ece3.1016,environment-responsive nest construction / spiggin-mediated material joining,2014,Direct construction physiology/behavior context; not tool manufacture.
Gasterosteus aculeatus,E,positive,exact_species_experiment,pmcid:PMC4020685,10.1002/ece3.1016,constructed nest as persistent externalized structure,2014,Persistent nest construction is established; not cumulative cultural construction.
Bison bison,A,positive_proxy,exact_species_field,pmid:24811575,10.1111/ele.12294,memory-based adaptive foraging,2014,Direct memory-guided adaptive movement evidence; not broad generative problem solving.
Bison bison,C,positive,exact_species_field,pmcid:PMC11427542,10.1093/jmammal/gyae076,mother-offspring acoustic communication,2024,Direct acoustic communication evidence; not vocal production learning.
Bison bison,F,positive,exact_species_field,pmid:27873440,10.1111/ele.12698,collective movement decision-making in fusion-fission society,2017,Direct collective-decision/social-organization evidence; study also shows collective information can be maladaptive.
Sarcophilus harrisii,F,positive_proxy,exact_species_field_network,pmid:19694783,10.1111/j.1461-0248.2009.01370.x,wild seasonal contact-network structure,2009,Direct social-network structure evidence; contact connectivity is not equivalent to cooperation.
Otospermophilus beecheyi,F,positive_proxy,exact_species_field_network,pmcid:PMC6030582,10.1098/rstb.2017.0249,linked above- and belowground social networks,2018,Direct California ground squirrel network evidence; does not establish social learning or cooperation.
Crocuta crocuta,A,positive,exact_species_field,pmcid:PMC3427591,10.1098/rspb.2012.1450,innovative problem solving,2012,Direct wild novel-problem innovation evidence.
Crocuta crocuta,B,measured_context,exact_species_experiment,pmid:25245305,10.1016/j.beproc.2014.09.019,directed social-learning test of a novel technical problem,2014,"Social-learning opportunity did not increase solving success, though observers showed reduced neophobia and rank-dependent attention. Treat as measured boundary, not B-positive."
Crocuta crocuta,C,positive,exact_species_field,pmcid:PMC12108359,10.3390/ani15101366,multimodal gestural communication,2025,Direct multimodal communication evidence; not compositional language.
Crocuta crocuta,F,positive,exact_species_field,pmcid:PMC4402652,10.1016/j.anbehav.2015.02.003,long-distance calls facilitate cooperative collective action,2015,Direct communication-linked cooperation evidence in wild hyenas.
