scientific_name,module_id,retrieval_rank,paper_id,title,screening_status
Aldabrachelys gigantea,B,1,pmid:20605459,Imitation and traditions in wild banded mongooses.,pending
Aldabrachelys gigantea,B,2,pmid:20619805,Animal traditions: experimental evidence of learning by imitation in an unlikely animal.,pending
Aldabrachelys gigantea,B,3,pmid:25058622,Laboratory studies of imitation/field studies of tradition: towards a synthesis in animal social learning.,pending
Aldabrachelys gigantea,B,4,pmid:25199480,Social learning by imitation in a reptile (Pogona vitticeps).,pending
Aldabrachelys gigantea,B,5,pmcid:PMC2865074,"Emulation, imitation, over-imitation and the scope of culture for child and chimpanzee.",pending
Aldabrachelys gigantea,B,6,pmid:24222403,The question of animal culture.,pending
Aldabrachelys gigantea,B,7,pmcid:PMC3559591,Basis for cumulative cultural evolution in chimpanzees: social learning of a more efficient tool-use technique.,pending
Aldabrachelys gigantea,B,8,pmcid:PMC11621824,Social tolerance and success-biased social learning underlie the cultural transmission of an induced extractive foraging tradition in a wild tool-using primate.,pending
Aldabrachelys gigantea,C,1,pmid:17550196,Acoustic signals of Chinese alligators (Alligator sinensis): social communication.,pending
Aldabrachelys gigantea,C,2,pmid:27159683,Shotgun sequencing of the mitochondrial genome of the Aldabra giant tortoise (Aldabrachelys gigantea).,pending
Aldabrachelys gigantea,C,3,pmid:38973722,Evidence for seasonal shift in the reproduction of Aldabra giant tortoises (Aldabrachelys gigantea) in managed care in the Northern hemisphere compared to the natural habitat in the Southern hemisphere.,pending
Aldabrachelys gigantea,C,4,pmid:21978842,Acoustic signals of baby black caimans.,pending
Aldabrachelys gigantea,C,5,pmcid:PMC4709187,"The Acoustic Properties of Low Intensity Vocalizations Match Hearing Sensitivity in the Webbed-Toed Gecko, Gekko subpalmatus.",pending
Aldabrachelys gigantea,C,6,doi:10.1101/2025.02.05.636284,"Epigenomic insights into extreme longevity in the world's oldest terrestrial animal, Jonathan",pending
Aldabrachelys gigantea,C,7,pmid:930443,Vocalization in juvenile crocodilians.,pending
Aldabrachelys gigantea,C,8,pmcid:PMC6045929,Multiple Organ Dysfunction Syndrome (MODS) induced by Candida krusei in an Aldabra giant tortoise (Aldabrachelys gigantea) and confirmed by electron microscopy analysis.,pending
Aldabrachelys gigantea,D,1,pmid:15248094,Preliminary observations of tool use in captive hyacinth macaws (Anodorhynchus hyacinthinus).,pending
Aldabrachelys gigantea,D,2,pmid:38973722,Evidence for seasonal shift in the reproduction of Aldabra giant tortoises (Aldabrachelys gigantea) in managed care in the Northern hemisphere compared to the natural habitat in the Southern hemisphere.,pending
Aldabrachelys gigantea,D,3,pmid:41243549,Object Manipulation and Tool Use to Access Water by Urban Robust Capuchin Monkeys (Sapajus sp.) in Southern Brazil.,pending
Aldabrachelys gigantea,D,4,pmid:34428417,Giant tortoises hunt and consume birds.,pending
Aldabrachelys gigantea,D,5,pmcid:PMC8904356,"The ""right"" side of sleeping: laterality in resting behaviour of Aldabra giant tortoises (Aldabrachelys gigantea).",pending
Aldabrachelys gigantea,D,6,pmcid:PMC4707702,A novel form of spontaneous tool use displayed by several captive greater vasa parrots (Coracopsis vasa).,pending
Aldabrachelys gigantea,D,7,pmid:27159683,Shotgun sequencing of the mitochondrial genome of the Aldabra giant tortoise (Aldabrachelys gigantea).,pending
Aldabrachelys gigantea,D,8,pmid:16527726,Giant tortoises.,pending
Aldabrachelys gigantea,E,1,pmid:21714986,Living archaeology: artefacts of specific nest site fidelity in wild chimpanzees.,pending
Aldabrachelys gigantea,E,2,pmcid:PMC7073553,Nest Turrets of Acromyrmex Grass-Cutting Ants: Micromorphology Reveals Building Techniques and Construction Dynamics.,pending
Aldabrachelys gigantea,E,3,pmid:25865171,Arrestant property of recently manipulated soil on Macrotermes michaelseni as determined through visual tracking and automatic labeling of individual termite behaviors.,pending
Aldabrachelys gigantea,E,4,pmcid:PMC5217528,Marine turtles are not fussy nesters: a novel test of small-scale nest site selection using structure from motion beach terrain information.,pending
Aldabrachelys gigantea,E,5,pmcid:PMC3281366,"The nest growth of the neotropical mound-building termite, Cornitermes cumulans: a micromorphological analysis.",pending
Aldabrachelys gigantea,E,6,pmid:33143925,"Biological and physicochemical properties of the nests of White Stork Ciconia ciconia reveal soil entirely formed, modified and maintained by birds.",pending
Aldabrachelys gigantea,E,7,pmid:27159683,Shotgun sequencing of the mitochondrial genome of the Aldabra giant tortoise (Aldabrachelys gigantea).,pending
Aldabrachelys gigantea,E,8,pmid:23731816,Artificial nesting habitats as a conservation strategy for turtle populations experiencing global change.,pending
Aldabrachelys gigantea,F,1,pmid:28310773,Feeding ecology and seasonal movements of giant tortoises on Aldabra atoll.,pending
Aldabrachelys gigantea,F,2,pmid:27159683,Shotgun sequencing of the mitochondrial genome of the Aldabra giant tortoise (Aldabrachelys gigantea).,pending
Aldabrachelys gigantea,F,3,pmid:28309417,Population processes in a large herbivorous reptile: the giant tortoise of Aldabra atoll.,pending
Aldabrachelys gigantea,F,4,pmid:41850543,Unlocking interbrain neural signatures differences during triadic cooperation and competition: Evidence from EEG hyperscanning.,pending
Aldabrachelys gigantea,F,5,pmid:26594712,"Cooperative Networks: Altruism, Group Solidarity, Reciprocity, and Sanctioning in Ugandan Producer Organizations.",pending
Aldabrachelys gigantea,F,6,pmid:10588432,Social organization of the Alaotran gentle lemur (Hapalemur griseus alaotrensis).,pending
Aldabrachelys gigantea,F,7,pmid:26739908,"[Democracy, compromise and consensus in collective movements of baboons].",pending
Aldabrachelys gigantea,F,8,arxiv:2502.09446,Drivers of cooperation in social dilemmas on higher-order networks,pending
Aphelocoma californica,B,1,pmid:10877899,Social learning of a novel foraging patch in families of free-living Florida scrub-jays.,pending
Aphelocoma californica,B,2,pmid:27036232,Counting on your friends: The role of social environment on quantity discrimination.,pending
Aphelocoma californica,B,3,pmcid:PMC5857174,Difficulties when using video playback to investigate social cognition in California scrub-jays (Aphelocoma californica).,pending
Aphelocoma californica,B,4,pmid:16709747,Food-caching western scrub-jays keep track of who was watching when.,pending
Aphelocoma californica,B,5,pmid:20619805,Animal traditions: experimental evidence of learning by imitation in an unlikely animal.,pending
Aphelocoma californica,B,6,pmid:25058622,Laboratory studies of imitation/field studies of tradition: towards a synthesis in animal social learning.,pending
Aphelocoma californica,B,7,pmcid:PMC10703848,Long-term memory of experienced jays facilitates problem-solving by naïve group members in the wild.,pending
Aphelocoma californica,B,8,pmcid:PMC3049099,Social learning in birds and its role in shaping a foraging niche.,pending
Aphelocoma californica,C,1,pmid:15639383,"Food, audience and sex effects on pinyon jay (Gymnorhinus cyanocephalus) communication.",pending
Aphelocoma californica,C,2,pmcid:PMC9358324,Flexible use of contact calls in a species with high fission-fusion dynamics.,pending
Aphelocoma californica,C,3,pmcid:PMC2391208,Interspecific audience effects on the alarm-calling behaviour of a kleptoparasitic bird.,pending
Aphelocoma californica,C,4,pmcid:PMC11903849,Context-dependent modulations in zebra finch distance calls revealed by a novel goal-directed vocalization paradigm.,pending
Aphelocoma californica,C,5,pmcid:PMC8899475,An Audience Effect in Sooty Mangabey Alarm Calling.,pending
Aphelocoma californica,C,6,doi:10.1101/2022.05.25.492876,Flexible use of contact calls in a species with high fission-fusion dynamics,pending
Aphelocoma californica,C,7,pmcid:PMC5054065,Western scrub-jays (Aphelocoma californica) solve multiple-string problems by the spatial relation of string and reward.,pending
Aphelocoma californica,C,8,pmcid:PMC10037432,Audience effects in a group-living bird: How contact call rate is affected by vegetation and group size and composition.,pending
Aphelocoma californica,D,1,pmcid:PMC5054065,Western scrub-jays (Aphelocoma californica) solve multiple-string problems by the spatial relation of string and reward.,pending
Aphelocoma californica,D,2,pmid:12561130,Interacting Cache memories: evidence for flexible memory use by Western Scrub-Jays (Aphelocoma californica).,pending
Aphelocoma californica,D,3,pmcid:PMC4004823,No evidence of temporal preferences in caching by Western scrub-jays (Aphelocoma californica).,pending
Aphelocoma californica,D,4,pmid:16709747,Food-caching western scrub-jays keep track of who was watching when.,pending
Aphelocoma californica,D,5,pmid:17924785,The control of food-caching behavior by Western scrub-jays (Aphelocoma californica).,pending
Aphelocoma californica,D,6,pmcid:PMC2836840,The development of caching and object permanence in Western scrub-jays (Aphelocoma californica): which emerges first?,pending
Aphelocoma californica,D,7,pmid:15839770,Food caching by western scrub-jays (Aphelocoma californica) is sensitive to the conditions at recovery.,pending
Aphelocoma californica,D,8,pmid:28412529,Vertical string-pulling in green jays (Cyanocorax yncas).,pending
Aphelocoma californica,E,1,pmcid:PMC1810099,Cache protection strategies by western scrub-jays (Aphelocoma californica): hiding food in the shade.,pending
Aphelocoma californica,E,2,pmid:17924785,The control of food-caching behavior by Western scrub-jays (Aphelocoma californica).,pending
Aphelocoma californica,E,3,pmcid:PMC4004823,No evidence of temporal preferences in caching by Western scrub-jays (Aphelocoma californica).,pending
Aphelocoma californica,E,4,pmid:15839770,Food caching by western scrub-jays (Aphelocoma californica) is sensitive to the conditions at recovery.,pending
Aphelocoma californica,E,5,pmid:12561130,Interacting Cache memories: evidence for flexible memory use by Western Scrub-Jays (Aphelocoma californica).,pending
Aphelocoma californica,E,6,pmid:16709747,Food-caching western scrub-jays keep track of who was watching when.,pending
Aphelocoma californica,E,7,pmid:12827547,Western scrub-jays ( Aphelocoma californica) use cognitive strategies to protect their caches from thieving conspecifics.,pending
Aphelocoma californica,E,8,pmcid:PMC3541402,Re-caching by Western scrub-jays (Aphelocoma californica) cannot be attributed to stress.,pending
Aphelocoma californica,F,1,pmcid:PMC7020825,Life history stage explains behavior in a social network before and during the early breeding season in a cooperatively breeding bird.,pending
Aphelocoma californica,F,2,pmid:35085401,"Staging to join non-kin groups in a classical cooperative breeder, the Florida scrub-jay.",pending
Aphelocoma californica,F,3,pmid:10564596,Testosterone and social and reproductive behaviour in Aphelocoma jays.,pending
Aphelocoma californica,F,4,pmid:27036232,Counting on your friends: The role of social environment on quantity discrimination.,pending
Aphelocoma californica,F,5,pmcid:PMC9775325,Visual Monitoring Strategies of Sentinels in a Cooperative Breeder.,pending
Aphelocoma californica,F,6,pmcid:PMC13228392,Indirect genetic effects across ontogeny in an avian cooperative breeder.,pending
Aphelocoma californica,F,7,pmcid:PMC12330571,Context-Dependent Fitness Outcomes of Helping in the Cooperatively-Breeding Florida Scrub-Jay ( Aphelocoma coerulescens ).,pending
Aphelocoma californica,F,8,pmid:16709747,Food-caching western scrub-jays keep track of who was watching when.,pending
Atta cephalotes,A,1,pmid:16816091,"Dimensions of cognition in an insect, the honeybee.",pending
Atta cephalotes,A,2,pmid:18560906,Individual and collective problem-solving in a foraging context in the leaf-cutting ant Atta colombica.,pending
Atta cephalotes,A,3,pmcid:PMC2659768,Ants can learn to forage on one-way trails.,pending
Atta cephalotes,A,4,pmid:4833350,"Methyl 4-methylpyrrole-2-carboxylate: a volatile trail pheromone from the leaf-cutting ant, tatta cephalotes.",pending
Atta cephalotes,A,5,pmid:11074286,Sticking to their routes,pending
Atta cephalotes,A,6,pmid:35973225,"Karyotype conservation and genomic organization of repetitive sequences in the leaf-cutting ant Atta cephalotes (Linnaeus, 1758) (Formicidae: Myrmicinae).",pending
Atta cephalotes,A,7,pmid:24896019,Cognitive approach of spatial and temporal information processing in insects.,pending
Atta cephalotes,A,8,pmcid:PMC5605539,Gender differences measured by the MATRICS consensus cognitive battery in chronic schizophrenia patients.,pending
Atta cephalotes,B,1,pmid:29689335,"Increase in scout trips due to forager removal in Atta sexdens (Hymenoptera, Formicidae) (Forel, 1908).",pending
Atta cephalotes,B,2,doi:10.1101/2021.07.03.450997,Behavioral performance requirements for division of labor influence adaptive brain mosaicism in a socially complex ant,pending
Atta cephalotes,B,3,pmcid:PMC13118808,Neuropeptides specify and reprogram division of labor in the leafcutter ant Atta cephalotes.,pending
Atta cephalotes,B,4,pmcid:PMC11581030,Neuropeptides specify and reprogram division of labor in the leafcutter ant Atta cephalotes,pending
Atta cephalotes,B,5,doi:10.1101/2022.07.01.498419,Social and individual learners use different pathways to success in an ant mini-society,pending
Atta cephalotes,B,6,pmid:35112161,Behavioral performance and division of labor influence brain mosaicism in the leafcutter ant Atta cephalotes.,pending
