scientific_name,module_id,trait_name,evidence_state,evidence_scope,source_id,doi,title,year,claim_limit
Aldabrachelys gigantea,A,operant_conditioning_visual_discrimination_long_term_memory,positive_proxy,exact_species_in_multispecies_study,pmid:31720927,10.1007/s10071-019-01326-6,The underestimated giants: operant conditioning visual discrimination and long-term memory in giant tortoises,2019,"Supports learning/memory capacity; does not establish open-ended generative cognition or social culture."
Aphelocoma californica,A,future_need_planning,positive,exact_species,pmid:17314979,10.1038/nature05575,Planning for the future by western scrub-jays,2007,"Strong future-oriented cognition result; does not by itself establish cumulative culture."
Atta cephalotes,E,externalized_fungus_cultivation,positive_with_scope_limit,exact_species,pmcid:PMC3037820,10.1371/journal.pgen.1002007,The genome sequence of the leaf-cutter ant Atta cephalotes reveals insights into its obligate symbiotic lifestyle,2011,"Persistent cultivated fungus garden is an externalized resource system; this source is genomic/natural-history evidence, not a cognitive construction experiment."
Atta cephalotes,F,division_of_labor,positive,exact_species,pmid:32506318,10.1007/s00359-020-01423-9,The neuroplasticity of division of labor: worker polymorphism compound eye structure and brain organization in the leafcutter ant Atta cephalotes,2020,"Shows specialized cooperative worker roles; colony-level organization must not be equated with individual cognition."
Canis lupus,F,conspecific_cooperation,positive,exact_species_in_comparative_study,pmcid:PMC5676910,10.1073/pnas.1709027114,Importance of a species' socioecology: Wolves outperform dogs in a conspecific cooperation task,2017,"Cooperation is demonstrated experimentally; precision manipulation and cumulative culture remain separate questions."
Castor canadensis,E,persistent_dam_construction,positive,exact_species,pmid:28547281,10.1007/s00442-002-0929-1,An ecosystem engineer the beaver increases species richness at the landscape scale,2002,"Direct evidence that Castor canadensis dams physically modify landscapes; construction alone is not coded as cumulative culture."
Enhydra lutris,D,habitual_stone_tool_use,positive,exact_species,pmcid:PMC6418163,10.1038/s41598-019-39902-y,Wild sea otter mussel pounding leaves archaeological traces,2019,"Habitual stone-tool use in wild sea otters; repeated anvil use does not itself establish cumulative technological improvement."
Heterocephalus glaber,B,cultural_transmission_vocal_dialect,positive,exact_species,pmid:33510025,10.1126/science.abc6588,Cultural transmission of vocal dialect in the naked mole-rat,2021,"Direct evidence of socially maintained vocal dialect; does not imply open-ended cumulative culture."
Heterocephalus glaber,C,colony_vocal_dialect,positive,exact_species,pmid:33510025,10.1126/science.abc6588,Cultural transmission of vocal dialect in the naked mole-rat,2021,"Communication tradition is established; complexity/open-endedness remains separate."
Heterocephalus glaber,F,multigenerational_cooperative_colony,positive,exact_species,pmid:33510025,10.1126/science.abc6588,Cultural transmission of vocal dialect in the naked mole-rat,2021,"Highly cooperative colony organization is background/context in the study; use dedicated social-organization sources for quantitative F."
Labroides dimidiatus,B,social_learning_cheating_consequences,positive,exact_species,pmcid:PMC7054547,10.1038/s41467-020-14712-3,Juvenile cleaner fish can socially learn the consequences of cheating,2020,"Direct social-learning evidence in a cooperative ecological context."
Labroides dimidiatus,A,partner_visual_perspective_sensitivity,positive_proxy,exact_species,pmcid:PMC8484626,10.1038/s42003-021-02584-2,Cleaner fish are sensitive to what their partners can and cannot see,2021,"Useful social-cognition proxy; disputed interpretation as theory of mind must not be upgraded to a general generative-cognition claim."
Lycaon pictus,F,collective_decision_quorum,positive,exact_species,pmcid:PMC5597819,10.1098/rspb.2017.0347,Sneeze to leave: African wild dogs use variable quorum thresholds facilitated by sneezes in collective decisions,2017,"Shows distributed collective decision dynamics; not evidence of technological externalization."
Portia fimbriata,A,flexible_opportunistic_predatory_strategy,positive_proxy,exact_species,pmid:12357287,10.1007/s10071-002-0144-9,Opportunistic use of cognitive smokescreens by araneophagic jumping spiders,2002,"Exact-species flexible tactical cognition; does not justify a broad planning/generative-cognition score because classic detour studies often use other Portia species."
Ptilonorhynchus violaceus,E,bower_construction_and_decoration,positive,exact_species,pmid:17216428,10.1007/s00114-006-0211-1,Male satin bowerbirds compensate for sexual signal loss by enhancing multiple display features,2007,"Persistent constructed display structure is directly part of the species' signaling system; construction is not sufficient evidence for cumulative culture."
Ptilonorhynchus violaceus,A,compensatory_display_adjustment,positive_proxy,exact_species,pmid:17216428,10.1007/s00114-006-0211-1,Male satin bowerbirds compensate for sexual signal loss by enhancing multiple display features,2007,"Behavioral compensation supports flexible adjustment but not a domain-general intelligence claim."
Rattus norvegicus,B,social_transmission_foraging_information,positive,exact_species,pmid:24896467,10.1016/0376-6357(92)90040-K,Further experimental analysis of the social learning and transmission of foraging information amongst Norway rats,1992,"Includes transmission along chains; persistence and cumulative improvement require separate coding."
Saccopteryx bilineata,C,vocal_imitation,positive,exact_species,pmcid:PMC2865031,10.1098/rsbl.2009.0685,Complex vocal imitation during ontogeny in a bat,2010,"Direct vocal-production learning and imitation."
Saccopteryx bilineata,B,socially_tutored_vocal_learning,positive,exact_species,pmcid:PMC2865031,10.1098/rsbl.2009.0685,Complex vocal imitation during ontogeny in a bat,2010,"Tutor imitation supports social transmission of vocal form; population-level cumulative change remains untested here."
Taeniopygia guttata,B,cultural_transmission_song,positive,exact_species,pmcid:PMC6219627,10.1038/s41586-018-0636-7,A mesocortical dopamine circuit enables the cultural transmission of vocal behaviour,2018,"Direct socially mediated song copying; does not establish open-ended cumulative culture."
Taeniopygia guttata,C,vocal_production_learning,positive,exact_species,pmcid:PMC6219627,10.1038/s41586-018-0636-7,A mesocortical dopamine circuit enables the cultural transmission of vocal behaviour,2018,"Strong vocal-learning evidence; communication learning alone is not treated as sufficient."
