person_id,canonical_name,openalex_work_id,work_decision,include_in_network,canonical_work_id,decision_evidence,reviewer,second_reviewer,adjudication_status,mh_blinded_at_work_lock,review_date
cv_Q1729753,Karl-Franz Busch,W4300100094,KEEP_ORIGINAL,true,W4300100094,First-review keep: title/date/field concordant with independently verified focal-person bibliography or authority context; included in the clean pilot work corpus.,ARIS4C pre-exposure work review,,first-review-locked,true,2026-09-18
cv_Q1729753,Karl-Franz Busch,W72570283,KEEP_ORIGINAL,true,W72570283,First-review keep: title/date/field concordant with independently verified focal-person bibliography or authority context; included in the clean pilot work corpus.,ARIS4C pre-exposure work review,,first-review-locked,true,2026-09-18
cv_Q1729753,Karl-Franz Busch,W4213455224,KEEP_ORIGINAL,true,W4213455224,First-review keep: title/date/field concordant with independently verified focal-person bibliography or authority context; included in the clean pilot work corpus.,ARIS4C pre-exposure work review,,first-review-locked,true,2026-09-18
cv_Q1729753,Karl-Franz Busch,W3195678057,EXCLUDE_NAME_COLLISION,false,,First-review exclusion: title/field/chronology or external authorship evidence indicates a same-name/different-person record.,ARIS4C pre-exposure work review,,first-review-locked,true,2026-09-18
cv_Q1729753,Karl-Franz Busch,W1970422204,EXCLUDE_NAME_COLLISION,false,,First-review exclusion: title/field/chronology or external authorship evidence indicates a same-name/different-person record.,ARIS4C pre-exposure work review,,first-review-locked,true,2026-09-18
cv_Q1729753,Karl-Franz Busch,W112241890,EXCLUDE_NAME_COLLISION,false,,First-review exclusion: title/field/chronology or external authorship evidence indicates a same-name/different-person record.,ARIS4C pre-exposure work review,,first-review-locked,true,2026-09-18
cv_Q1729753,Karl-Franz Busch,W173865517,EXCLUDE_NAME_COLLISION,false,,First-review exclusion: title/field/chronology or external authorship evidence indicates a same-name/different-person record.,ARIS4C pre-exposure work review,,first-review-locked,true,2026-09-18
cv_Q1729753,Karl-Franz Busch,W4213452096,EXCLUDE_CONTAINER_FRAGMENT,false,,"First-review exclusion: front matter, index, contents, chapter/container manifestation, generic review-list, or other non-independent work under the frozen book/chapter policy.",ARIS4C pre-exposure work review,,first-review-locked,true,2026-09-18
cv_Q1354374,Erika Greber,W3189108806,KEEP_ORIGINAL,true,W3189108806,First-review keep: title/date/field concordant with independently verified focal-person bibliography or authority context; included in the clean pilot work corpus.,ARIS4C pre-exposure work review,,first-review-locked,true,2026-09-18
cv_Q1354374,Erika Greber,W602114529,KEEP_ORIGINAL,true,W602114529,First-review keep: title/date/field concordant with independently verified focal-person bibliography or authority context; included in the clean pilot work corpus.,ARIS4C pre-exposure work review,,first-review-locked,true,2026-09-18
