record_id,title,field,coder_a,coder_b,adjudicated_value,adjudication_rationale
P01,Intergroup Competition Promotes Intragroup Cooperation: A Meta-Analysis of Social Dilemmas,primary_mechanism,level-switch/interdependence,level_switch,,
P01,Intergroup Competition Promotes Intragroup Cooperation: A Meta-Analysis of Social Dilemmas,evidence_mode,meta-analysis,meta_analysis,,
P01,Intergroup Competition Promotes Intragroup Cooperation: A Meta-Analysis of Social Dilemmas,causal_claim_strength,high within included experimental paradigms,strong,,
P01,Intergroup Competition Promotes Intragroup Cooperation: A Meta-Analysis of Social Dilemmas,result_support,support,yes,,
P02,"Intergroup conflict: individual, group, and collective interests",primary_mechanism,multilevel social dilemma,level_switch,,
P02,"Intergroup conflict: individual, group, and collective interests",evidence_mode,review,conceptual,,
P02,"Intergroup conflict: individual, group, and collective interests",evidence_tier,NA-review,E0,,
P02,"Intergroup conflict: individual, group, and collective interests",causal_claim_strength,theoretical,moderate,,
P02,"Intergroup conflict: individual, group, and collective interests",result_support,mixed/theoretical,not_tested,,
P03,Deterrence and International Conflict: Empirical Findings and Theoretical Debates,oci_candidate,yes,no,,
P03,Deterrence and International Conflict: Empirical Findings and Theoretical Debates,primary_mechanism,strategic deterrence,strategic_feedback,,
P03,Deterrence and International Conflict: Empirical Findings and Theoretical Debates,evidence_tier,NA-review,E2,,
P03,Deterrence and International Conflict: Empirical Findings and Theoretical Debates,causal_claim_strength,conditional,moderate,,
P03,Deterrence and International Conflict: Empirical Findings and Theoretical Debates,result_support,conditional_support,not_tested,,
P04,Domestic Discontent and the External Use of Force,opposition_valid,uncertain,no,,
P04,Domestic Discontent and the External Use of Force,primary_mechanism,diversionary conflict,none,,
P04,Domestic Discontent and the External Use of Force,actor_switch,yes,no,,
P04,Domestic Discontent and the External Use of Force,evidence_tier,E1/E2,E2,,
P04,Domestic Discontent and the External Use of Force,causal_claim_strength,conditional/observational,weak,,
P04,Domestic Discontent and the External Use of Force,result_support,mixed,no,,
P05,The Security Dilemma: A Conceptual Analysis,primary_mechanism,strategic equilibrium feedback,strategic_feedback,,
P05,The Security Dilemma: A Conceptual Analysis,evidence_tier,NA-conceptual,E0,,
P05,The Security Dilemma: A Conceptual Analysis,causal_claim_strength,mechanistic/theoretical,moderate,,
P05,The Security Dilemma: A Conceptual Analysis,result_support,not_tested_as_single_effect,not_tested,,
P06,Can There Ever Be Too Many Options? A Meta-Analytic Review of Choice Overload,primary_mechanism,choice overload,capacity_overload,,
P06,Can There Ever Be Too Many Options? A Meta-Analytic Review of Choice Overload,nonlinearity,possible,yes,,
P06,Can There Ever Be Too Many Options? A Meta-Analytic Review of Choice Overload,evidence_mode,meta-analysis,meta_analysis,,
P06,Can There Ever Be Too Many Options? A Meta-Analytic Review of Choice Overload,causal_claim_strength,high synthesis but heterogeneous,strong,,
P06,Can There Ever Be Too Many Options? A Meta-Analytic Review of Choice Overload,result_support,counterevidence/mixed,no,,
P07,Choice overload: A conceptual review and meta-analysis,primary_mechanism,capacity/choice overload,capacity_overload,,
P07,Choice overload: A conceptual review and meta-analysis,evidence_mode,meta-analysis,meta_analysis,,
P07,Choice overload: A conceptual review and meta-analysis,causal_claim_strength,conditional,strong,,
P07,Choice overload: A conceptual review and meta-analysis,result_support,conditional_support,yes,,
P08,The Autonomy Paradox: The Implications of Mobile Email Devices for Knowledge Professionals,primary_mechanism,normative feedback/autonomy paradox,construct_substitution,,
P08,The Autonomy Paradox: The Implications of Mobile Email Devices for Knowledge Professionals,causal_claim_strength,mechanistic but nonrandomized,moderate,,
