scientific_name,module_id,evidence_state,source_ids,evidence_traits,first_pass_status,tested_negative_status,notes
Aldabrachelys gigantea,A,positive_proxy,pmid:31720927,operant_conditioning_visual_discrimination_long_term_memory,evidence_located,not_searched,
Aldabrachelys gigantea,B,not_located_first_pass,,,two_pass_search_complete_no_exact_direct_evidence,not_searched,
Aldabrachelys gigantea,C,not_located_first_pass,,,two_pass_search_complete_no_exact_direct_evidence,not_searched,
Aldabrachelys gigantea,D,not_located_first_pass,,,two_pass_search_complete_no_exact_direct_evidence,not_searched,
Aldabrachelys gigantea,E,not_located_first_pass,,,two_pass_search_complete_no_exact_direct_evidence,not_searched,
Aldabrachelys gigantea,F,measured_context,pmcid:PMC8868148,variable aggregation / small herds; agonistic behaviour reported virtually absent,evidence_located,not_searched,
Aphelocoma californica,A,positive,pmid:17314979,future_need_planning,evidence_located,not_searched,
Aphelocoma californica,B,positive,pmcid:PMC8847367,wild social learning / use of social information,evidence_located,not_searched,
Aphelocoma californica,C,positive_proxy,pmcid:PMC2781959,audience-sensitive concealment of auditory information,evidence_located,not_searched,
Aphelocoma californica,D,positive_proxy,pmcid:PMC5054065,string manipulation to obtain reward,evidence_located,not_searched,
Aphelocoma californica,E,positive,pmcid:PMC1810099,food caching and cache relocation,evidence_located,not_searched,
Aphelocoma californica,F,measured_context,pmcid:PMC8847367,"pair-bonded monogamy, territoriality, relatively asocial adult structure",evidence_located,not_searched,
Atta cephalotes,A,not_located_first_pass,,,two_pass_search_complete_no_exact_direct_evidence,not_searched,
Atta cephalotes,B,not_located_first_pass,,,two_pass_search_complete_no_exact_direct_evidence,not_searched,
Atta cephalotes,C,positive,pmid:4833350,trail pheromone communication / trail following,evidence_located,not_searched,
Atta cephalotes,D,positive,pmid:28313583,leaf cutting and load-size manipulation,evidence_located,not_searched,
Atta cephalotes,E,positive_with_scope_limit,pmcid:PMC3037820,externalized_fungus_cultivation,evidence_located,not_searched,
Atta cephalotes,F,positive,pmid:32506318,division_of_labor,evidence_located,not_searched,
Canis lupus,A,positive_proxy,pmcid:PMC5601471,physical/social cognition task battery,evidence_located,not_searched,
Canis lupus,B,positive,pmcid:PMC3906065,conspecific imitation/social learning,evidence_located,not_searched,
Canis lupus,C,measured_subspecies,pmcid:PMC6822943,vocal repertoire and communication,evidence_located,not_searched,
Canis lupus,D,positive_with_uncertainty,pmcid:PMC12622305,potential tool use / crab-trap pulling,evidence_located,not_searched,
Canis lupus,E,not_located_first_pass,,,two_pass_search_complete_no_exact_direct_evidence,not_searched,
Canis lupus,F,positive,pmcid:PMC5676910,conspecific_cooperation,evidence_located,not_searched,
Castor canadensis,A,not_located_first_pass,,,two_pass_search_complete_no_exact_direct_evidence,not_searched,
Castor canadensis,B,not_located_first_pass,,,two_pass_search_complete_no_exact_direct_evidence,not_searched,
Castor canadensis,C,positive,pmid:24415179,scent communication via castor sacs/anal glands,evidence_located,not_searched,
Castor canadensis,D,positive_proxy,doi:10.1101/2022.06.22.497031,dam construction / vegetation material selection,evidence_located,not_searched,
Castor canadensis,E,positive,pmid:28547281,persistent_dam_construction,evidence_located,not_searched,
Castor canadensis,F,measured_context,pmcid:PMC7771123,monogamy territoriality and density-dependent intraspecific aggression,evidence_located,not_searched,
Enhydra lutris,A,not_located_first_pass,,,two_pass_search_complete_no_exact_direct_evidence,not_searched,
Enhydra lutris,B,not_located_first_pass,,,two_pass_search_complete_no_exact_direct_evidence,not_searched,
Enhydra lutris,C,measured_subspecies,pmid:22278472,sound production and reception,evidence_located,not_searched,
Enhydra lutris,D,positive,pmcid:PMC6418163,habitual_stone_tool_use,evidence_located,not_searched,
Enhydra lutris,E,positive,pmcid:PMC6418163,reused stone anvils leaving persistent archaeological traces,evidence_located,not_searched,
Enhydra lutris,F,not_located_first_pass,,,two_pass_search_complete_no_exact_direct_evidence,not_searched,
Heterocephalus glaber,A,not_located_first_pass,,,two_pass_search_complete_no_exact_direct_evidence,not_searched,
Heterocephalus glaber,B,positive,pmid:33510025,cultural_transmission_vocal_dialect,evidence_located,not_searched,
Heterocephalus glaber,C,positive,pmid:33510025,colony_vocal_dialect,evidence_located,not_searched,
Heterocephalus glaber,D,positive,pmid:7241605,specialized digging / soil manipulation,evidence_located,not_searched,
Heterocephalus glaber,E,positive_proxy,pmcid:PMC3434143,coordinated soil distribution in simulated burrow environment,evidence_located,not_searched,
Heterocephalus glaber,F,positive,pmid:33510025,multigenerational_cooperative_colony,evidence_located,not_searched,
Labroides dimidiatus,A,positive_proxy,pmcid:PMC8484626,partner_visual_perspective_sensitivity,evidence_located,not_searched,
Labroides dimidiatus,B,positive,pmcid:PMC7054547,social_learning_cheating_consequences,evidence_located,not_searched,
Labroides dimidiatus,C,pending_first_pass,,,pending,not_searched,
Labroides dimidiatus,D,pending_first_pass,,,pending,not_searched,
Labroides dimidiatus,E,pending_first_pass,,,pending,not_searched,
Labroides dimidiatus,F,pending_first_pass,,,pending,not_searched,
Lycaon pictus,A,pending_first_pass,,,pending,not_searched,
Lycaon pictus,B,pending_first_pass,,,pending,not_searched,
Lycaon pictus,C,pending_first_pass,,,pending,not_searched,
Lycaon pictus,D,pending_first_pass,,,pending,not_searched,
Lycaon pictus,E,pending_first_pass,,,pending,not_searched,
