tier1_rank,scientific_name,pool_role,existing_seed_modules,priority_modules,tested_negative_priority,outcome_coding_priority,first_pass_search_target,rationale
1,Aldabrachelys gigantea,theory_discriminating_candidate,A,"B,C,D,E,F",high,O1-O7 high,exact species + module-specific experimental/field terms,Complete the dissociation profile around an already-motivated theory contrast; do not infer absent modules from silence.
2,Aphelocoma californica,theory_discriminating_candidate,A,"B,C,D,E,F",high,O1-O7 high,exact species + module-specific experimental/field terms,Complete the dissociation profile around an already-motivated theory contrast; do not infer absent modules from silence.
3,Atta cephalotes,theory_discriminating_candidate,"E,F","A,B,C,D",high,O1-O7 high,exact species + module-specific experimental/field terms,Complete the dissociation profile around an already-motivated theory contrast; do not infer absent modules from silence.
4,Canis lupus,theory_discriminating_candidate,F,"A,B,C,D,E",high,O1-O7 high,exact species + module-specific experimental/field terms,Complete the dissociation profile around an already-motivated theory contrast; do not infer absent modules from silence.
5,Castor canadensis,theory_discriminating_candidate,E,"A,B,C,D,F",high,O1-O7 high,exact species + module-specific experimental/field terms,Complete the dissociation profile around an already-motivated theory contrast; do not infer absent modules from silence.
6,Enhydra lutris,theory_discriminating_candidate,D,"A,B,C,E,F",high,O1-O7 high,exact species + module-specific experimental/field terms,Complete the dissociation profile around an already-motivated theory contrast; do not infer absent modules from silence.
7,Heterocephalus glaber,theory_discriminating_candidate,"B,C,F","A,D,E",high,O1-O7 high,exact species + module-specific experimental/field terms,Complete the dissociation profile around an already-motivated theory contrast; do not infer absent modules from silence.
8,Labroides dimidiatus,theory_discriminating_candidate,"A,B","C,D,E,F",high,O1-O7 high,exact species + module-specific experimental/field terms,Complete the dissociation profile around an already-motivated theory contrast; do not infer absent modules from silence.
9,Lycaon pictus,theory_discriminating_candidate,F,"A,B,C,D,E",high,O1-O7 high,exact species + module-specific experimental/field terms,Complete the dissociation profile around an already-motivated theory contrast; do not infer absent modules from silence.
10,Portia fimbriata,theory_discriminating_candidate,A,"B,C,D,E,F",high,O1-O7 high,exact species + module-specific experimental/field terms,Complete the dissociation profile around an already-motivated theory contrast; do not infer absent modules from silence.
11,Ptilonorhynchus violaceus,theory_discriminating_candidate,"A,E","B,C,D,F",high,O1-O7 high,exact species + module-specific experimental/field terms,Complete the dissociation profile around an already-motivated theory contrast; do not infer absent modules from silence.
12,Rattus norvegicus,theory_discriminating_candidate,B,"A,C,D,E,F",high,O1-O7 high,exact species + module-specific experimental/field terms,Complete the dissociation profile around an already-motivated theory contrast; do not infer absent modules from silence.
13,Saccopteryx bilineata,theory_discriminating_candidate,"B,C","A,D,E,F",high,O1-O7 high,exact species + module-specific experimental/field terms,Complete the dissociation profile around an already-motivated theory contrast; do not infer absent modules from silence.
14,Taeniopygia guttata,theory_discriminating_candidate,"B,C","A,D,E,F",high,O1-O7 high,exact species + module-specific experimental/field terms,Complete the dissociation profile around an already-motivated theory contrast; do not infer absent modules from silence.
15,Acris crepitans,data_rich_underrepresented_clade_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,Calibration taxon from an underrepresented clade; search both positive and explicit tested-negative evidence to prevent bird/mammal-centric inference.
16,Birgus latro,data_rich_underrepresented_clade_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,Calibration taxon from an underrepresented clade; search both positive and explicit tested-negative evidence to prevent bird/mammal-centric inference.
17,Camponotus sericeiventris,data_rich_underrepresented_clade_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,Calibration taxon from an underrepresented clade; search both positive and explicit tested-negative evidence to prevent bird/mammal-centric inference.
18,Chelydra serpentina,data_rich_underrepresented_clade_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,Calibration taxon from an underrepresented clade; search both positive and explicit tested-negative evidence to prevent bird/mammal-centric inference.
