event_id,age_old_ka,age_young_ka,central_ka,site,region,attribution,proxy_family,proxy,condition_links,outcome_links,evidence_type,confidence,preservation_bias,source,doi,notes
HM01,3300,3300,3300,Lomekwi 3,Kenya,"hominin uncertain; predates earliest known Homo",externalization,deliberate_stone_tool_production,"manipulation;motor_control;externalization","O1 innovation;O5 externalization",in_situ_lithics,high,low,"Harmand et al. 2015","10.1038/nature14464","Technology is not restricted to genus Homo."
HM02,1760,1760,1760,Kokiselei 4,Kenya,"early Homo likely; exact maker uncertain",technology,hierarchical_bifacial_technology,"planning;manipulation;skill_learning","O1 innovation;O5 externalization",dated_lithic_assemblage,high,low,"Lepre et al. 2011","10.1038/nature10372","Earliest securely dated Acheulean in this layer."
HM03,1000,1000,1000,Wonderwerk Cave,South Africa,"Acheulean hominin; exact species uncertain",energy_control,in_situ_fire_use,"energy_capture;fire_control;social_focality","O5 externalization",microstratigraphy_and_FTIR,high,high,"Berna et al. 2012","10.1073/pnas.1117620109","Evidence for in-situ burning; does not demonstrate fire production."
HM04,780,780,780,Gesher Benot Ya'aqov,Israel,"Middle Pleistocene Homo; exact taxon uncertain",energy_control,cooking_fish,"cooking;energy_capture;fire_control","O5 externalization",taphonomy_XRD_spatial_association,high,high,"Zohar et al. 2022","10.1038/s41559-022-01910-z","Earliest published evidence of intentional cooking in this source."
HM05,640,380,510,Trinil,Indonesia,Homo erectus,symbolic_or_form_marking,geometric_shell_engraving,"motor_control;externalization;pattern_production","O1 innovation;O5 externalization",directly_dated_shell_context,medium_high,high,"Joordens et al. 2015","10.1038/nature13962","Function/meaning is unknown; do not automatically code as symbolic art."
HM06,510,490,500,Kathu Pan 1,South Africa,"Middle Pleistocene Homo; exact taxon uncertain",compositional_technology,hafted_stone_tipped_spears,"compositionality;manipulation;planning;teaching_load","O5 externalization",use_damage_and_hafting_consistent_modification,medium_high,medium,"Wilkins et al. 2012","10.1126/science.1227608","Interpretation is strong but not direct preservation of shaft/adhesive."
HM07,499,453,476,Kalambo Falls,Zambia,"Middle Pleistocene hominin; exact taxon uncertain",built_environment,interlocking_structural_wood,"compositionality;manipulation;externalization;planning","O5 externalization",preserved_modified_wood_plus_luminescence,high,very_high,"Barham et al. 2023","10.1038/s41586-023-06557-9","476 ± 23 ka; preservation of wood is exceptionally rare."
HM08,500,330,415,Multiple African sites,Africa,"multiple Middle Pleistocene hominin populations",material_marking,initial_ochre_use_phase,"material_processing;possible_signalling","O1 innovation;O5 externalization",continent_scale_meta_analysis,medium,medium,"Dapschauskas et al. 2022","10.1007/s10963-022-09170-2","Initial phase; ochre use should not be automatically equated with symbolism."
HM09,400,400,400,Barnham,United Kingdom,"Middle Pleistocene hominin; exact taxon uncertain",energy_control,deliberate_fire_making,"energy_capture;planning;material_knowledge","O5 externalization",heated_sediments_fire_cracked_flint_pyrite_context,medium_high,high,"Davis et al. 2026","10.1038/s41586-025-09855-6","Current earliest claimed evidence of making fire; distinguish from using/maintaining natural fire."
HM10,320,295,307.5,Olorgesailie basin,Kenya,"Middle Pleistocene Homo; species attribution uncertain",network_externalization,long_distance_obsidian_and_pigment,"network_reach;exchange;material_signalling;planning","O5 externalization;O6 distributed knowledge",dated_MSA_sites_geochemistry,high,medium,"Brooks et al. 2018","10.1126/science.aao2646","Stone sources >=25–50 km; supports expanded landscape/social connectivity but exchange is inferred."
HM11,349,281,315,Jebel Irhoud,Morocco,early Homo sapiens,biological_lineage,early_Homo_sapiens_morphology,"anatomical_sapiens_reference","lineage_reference",fossils_plus_thermoluminescence,high,medium,"Hublin et al. 2017","10.1038/nature22336","315 ± 34 ka; mosaic morphology with primitive neurocranial/endocranial features."
HM12,160,40,100,Multiple African sites,Africa,"primarily Homo sapiens; local attribution varies",material_marking,habitual_ochre_phase,"material_signalling;social_learning;norm_stability","O2 traditions;O5 externalization",continent_scale_meta_analysis,medium_high,medium,"Dapschauskas et al. 2022","10.1007/s10963-022-09170-2","Habitual phase is an increase in prevalence, not a single origin event."
HM13,150,142,146,Bizmoune Cave,Morocco,Homo sapiens,social_signalling,marine_shell_beads,"symbolic_signalling;identity;network_norms","O2 traditions;O5 externalization;O6 distributed knowledge",perforated_shells_dated_context,high,medium,"Sehasseh et al. 2021","10.1126/sciadv.abi8620","33 shell beads; many derive from deposits >=142 ka."
HM14,100,100,100,Blombos Cave,South Africa,Homo sapiens,compositional_material_processing,ochre_processing_workshop,"multi_step_processing;planning;externalization","O5 externalization",preserved_toolkits_and_containers,high,high,"Henshilwood et al. 2011","10.1126/science.1211535","Multi-component ochre-rich mixtures produced and stored in abalone shells."
HM15,73,73,73,Blombos Cave,South Africa,Homo sapiens,graphic_externalization,abstract_drawing,"pattern_production;externalization;possible_signalling","O5 externalization",microscopic_and_experimental_analysis,high,high,"Henshilwood et al. 2018","10.1038/s41586-018-0514-3","Drawing is evidence of graphic production; communicative meaning cannot be assumed."
