selection_rank,provider,stratum,query_index,query,source_rank,provider_id,doi,title,year,type,venue_or_topic,cited_by_count,landing_url,dedupe_key
1,openalex,conflict_security,1,intergroup competition intragroup cooperation,1,https://openalex.org/W1982387463,10.1016/0022-1031(77)90015-4,Intergroup and intragroup competition and cooperation,1977,article,Social and Intergroup Psychology,94,https://openalex.org/W1982387463,doi:10.1016/0022-1031(77)90015-4
2,crossref,conflict_security,1,intergroup competition intragroup cooperation,1,10.4324/9780203124635-9,10.4324/9780203124635-9,Oxytocinergic Circuitry Motivates Intragroup Cooperation and Intergroup Competition,2013,book-chapter,Neuroscience of Prejudice and Intergroup Relations,0,https://doi.org/10.4324/9780203124635-9,doi:10.4324/9780203124635-9
3,openalex,conflict_security,2,external threat internal cohesion rally around flag,1,https://openalex.org/W2123791715,10.1017/s0020818311000233,Explaining External Support for Insurgent Groups,2011,article,Political Conflict and Governance,395,https://openalex.org/W2123791715,doi:10.1017/s0020818311000233
4,crossref,conflict_security,2,external threat internal cohesion rally around flag,1,10.2139/ssrn.4054309,10.2139/ssrn.4054309,Rally Around Which Flag?: Investigation of the Impact of Sanctions on the Rally Around the Flag Effects Using Focused Group Discussion with North Korean Defectors,2022,posted-content,,0,https://doi.org/10.2139/ssrn.4054309,doi:10.2139/ssrn.4054309
5,openalex,conflict_security,3,security dilemma deterrence conflict prevention,1,https://openalex.org/W2149275882,10.1017/s0260210506007054,The postcolonial moment in security studies,2006,article,International Relations and Foreign Policy,606,https://openalex.org/W2149275882,doi:10.1017/s0260210506007054
6,crossref,conflict_security,3,security dilemma deterrence conflict prevention,1,10.4324/9780203927113-8,10.4324/9780203927113-8,"Fear, preemption, retaliation: An empirical test of the security dilemma",2008,book-chapter,"Intra-State Conflict, Governments and Security",0,https://doi.org/10.4324/9780203927113-8,doi:10.4324/9780203927113-8
7,openalex,conflict_security,1,intergroup competition intragroup cooperation,2,https://openalex.org/W2488612938,10.1016/b978-0-12-210820-4.50011-3,The Effects of Intergroup Competition and Cooperation on Intragroup and Intergroup Relationships,1982,book-chapter,Social and Intergroup Psychology,49,https://openalex.org/W2488612938,doi:10.1016/b978-0-12-210820-4.50011-3
8,openalex,conflict_security,2,external threat internal cohesion rally around flag,2,https://openalex.org/W4366776991,10.1177/00220027231171310,Natural Experiments of the Rally 'Round the Flag Effects Using Worldwide Surveys,2023,article,Political Influence and Corporate Strategies,19,https://openalex.org/W4366776991,doi:10.1177/00220027231171310
9,crossref,conflict_security,2,external threat internal cohesion rally around flag,2,10.1037/e514412014-291,10.1037/e514412014-291,Rally around the flag: Effects of the American flag on automatic intergroup attitudes,2007,dataset,PsycEXTRA Dataset,0,https://doi.org/10.1037/e514412014-291,doi:10.1037/e514412014-291
10,openalex,conflict_security,3,security dilemma deterrence conflict prevention,2,https://openalex.org/W2883289607,10.2139/ssrn.3213954,"Deep Fakes: A Looming Challenge for Privacy, Democracy, and National Security",2018,preprint,Misinformation and Its Impacts,842,https://openalex.org/W2883289607,doi:10.2139/ssrn.3213954
11,crossref,conflict_security,3,security dilemma deterrence conflict prevention,2,10.4324/9780203927113.ch2,10.4324/9780203927113.ch2,"Fear, preemption, retaliation",2008,book-chapter,Contemporary Security Studies,1,https://doi.org/10.4324/9780203927113.ch2,doi:10.4324/9780203927113.ch2
12,openalex,conflict_security,1,intergroup competition intragroup cooperation,3,https://openalex.org/W1207133822,,The effects of intergroup competition and intragroup cooperation on slack and output in a,1993,article,Experimental Behavioral Economics Studies,32,https://openalex.org/W1207133822,ty:the effects of intergroup competition and intragroup cooperation on slack and output in a|1993
13,crossref,conflict_security,1,intergroup competition intragroup cooperation,3,10.1037/e511092014-337,10.1037/e511092014-337,Exploring distinct psychological mechanisms for intragroup cooperation and intergroup competition,2006,dataset,PsycEXTRA Dataset,0,https://doi.org/10.1037/e511092014-337,doi:10.1037/e511092014-337
14,openalex,conflict_security,2,external threat internal cohesion rally around flag,3,https://openalex.org/W2031539847,10.1080/13698249.2013.781299,How Wartime Violence Affects Social Cohesion: The Spatial–Temporal Gravity Model,2013,article,Political Conflict and Governance,41,https://openalex.org/W2031539847,doi:10.1080/13698249.2013.781299
15,crossref,conflict_security,2,external threat internal cohesion rally around flag,3,10.1037/e647512007-001,10.1037/e647512007-001,Rally Around the Flag: Effects of the American Flag on Automatic Intergroup Attitudes,2007,dataset,PsycEXTRA Dataset,0,https://doi.org/10.1037/e647512007-001,doi:10.1037/e647512007-001
16,openalex,conflict_security,3,security dilemma deterrence conflict prevention,3,https://openalex.org/W2280306538,10.1093/cybsec/tyv003,Tipping the scales: the attribution problem and the feasibility of deterrence against cyberattack,2015,article,Cybersecurity and Cyber Warfare Studies,219,https://openalex.org/W2280306538,doi:10.1093/cybsec/tyv003
17,crossref,conflict_security,3,security dilemma deterrence conflict prevention,3,10.1093/oxfordhb/9780198800682.013.16,10.1093/oxfordhb/9780198800682.013.16,The Deterrence and Prevention of Cyber Conflict,2021,book-chapter,The Oxford Handbook of Cyber Security,4,https://doi.org/10.1093/oxfordhb/9780198800682.013.16,doi:10.1093/oxfordhb/9780198800682.013.16
18,openalex,conflict_security,1,intergroup competition intragroup cooperation,4,https://openalex.org/W2029585615,10.1002/ejsp.2420050102,Social comparison and social identity: Some prospects for intergroup behaviour,1975,article,Social and Intergroup Psychology,1436,https://openalex.org/W2029585615,doi:10.1002/ejsp.2420050102
