record_id,stable_id,title,year,domain,coder_id,coding_round,source_verified,screen_stage1,opposition_valid,opposition_rationale,x_construct,opposite_construct,actor_switch,level_switch,time_switch,construct_switch,environment_switch,feedback,nonlinearity,selection_filtering,power_asymmetry,primary_mechanism,study_design,evidence_mode,evidence_tier,causal_claim_strength,result_support,mediator,moderator,boundary_conditions,counterevidence,oci_candidate,exclusion_reason,notes
P01,10.1177/01461672261476739,Intergroup Competition Promotes Intragroup Cooperation: A Meta-Analysis of Social Dilemmas,2026,social psychology,B,independent-1,yes,pass,yes,"Competition and cooperation are an established bipolar pair formalised as a complement in social-dilemma payoff structures (defection vs cooperation), not lexical antonymy.",intergroup competition (presence vs absence; manipulated) at the between-group level,"intragroup cooperation, i.e. reduced within-group defection, at the within-group level",yes,yes,no,no,yes,no,no,no,no,level_switch,"preregistered multilevel random-effects meta-analysis of experimental game studies (25 articles, 70 effects, N=6051)",meta_analysis,E5,strong,yes,not isolated in accessible text; interdependence is the proximal condition,interdependence between groups (stronger effect with interdependence),effect requires intergroup competition to be interdependent with intra-group payoffs; generalises across paradigms only within that regime,study motivated by mixed prior findings; no publication-bias or null result verifiable from the abstract,yes,,"Cross-level promotion claim, not a sign reversal of the same outcome; coded OCI under S4 because i and j differ on the level index. Body text not accessible (SAGE 403); coding rests on verified abstract + Crossref/OpenAlex/PubMed metadata."
P02,10.1207/S15327957PSPR0702_129-145,"Intergroup conflict: individual, group, and collective interests",2003,social psychology,B,independent-1,partial,pass,yes,"Individual-, group- and collective-level rationality are formally incompatible in the payoff structures of mixed-motive/team games; admissible via domain theory specifying incompatible functional states.",individually rational action (maximise own payoff) at the individual level,"collective irrationality: reduced group/collective payoff, i.e. the opposite of what the same rationality criterion prescribes at the collective level",yes,yes,no,yes,yes,no,no,no,no,level_switch,"theoretical essay plus narrative review of an authored laboratory programme; taxonomy of team games; no new data, no pooled estimate",conceptual,E0,moderate,not_tested,payoff structure (which level of rationality is rendered binding),game structure; theoretical vs behavioural conditions determining which level prevails,reversal holds only where payoffs make the levels strictly opposed; absent in purely cooperative or purely individual tasks,no disconfirming cases reported in the abstract; no quantitative test of when the reversal occurs,yes,,"Packet DOI 10.1207/S15327957PSPR0702_129-145 does not resolve; corrected identifier is 10.1207/s15327957pspr0702_129-145 (Bornstein 2003, PSPR 7(2), 129-145), hence source_verified=partial. Strongest formal fit in the conflict stratum."
P03,10.1146/annurev.polisci.2.1.25,Deterrence and International Conflict: Empirical Findings and Theoretical Debates,1999,international relations,B,independent-1,partial,pass,yes,Deterrence theory and the spiral/security-dilemma model are a codified theoretical pair specifying incompatible predicted states of the same variable (threat posture vs probability of conflict).,deterrent threat posture / military credibility at the state level,"conflict probability, whose direction the two theories predict oppositely",yes,no,no,no,yes,yes,no,no,no,strategic_feedback,narrative state-of-the-field review of statistical tests and comparative case studies; no original data,review,E2,moderate,not_tested,adversary perception/response; credibility of threat,"balance of forces, costly signalling, reputation, interests at stake","review's own framing is conditionality (when deterrence succeeds or fails), not an unconditional inversion",explicitly reports that empirical tests challenged theoretical arguments and sparked design debates,no,"Record's own focal claim is conditionality of deterrence efficacy, not do(X)->O(X); the accumulation->insecurity reversal is not stated or tested in any text I could verify (Annual Reviews 403). Not credited from the concept name alone.","Coded as a negative example to resist title-level cherry-picking. If the full text documents a spiral-model section, this record is likely to be a genuine A/B disagreement and should be adjudicated from the source, not from consensus."
P04,JCR-1992-36-25,Domestic Discontent and the External Use of Force,1992,international relations,B,independent-1,partial,pass,no,"No admissible opposition: the paper contrasts two sources of domestic discontent, which is a construct refinement/moderator claim, not a bipolar pair or formal complement.","presidential support erosion among coalition critics (time-series, US 1953-1976)",none specified; outcome is external use of force short of war,no,yes,no,yes,yes,no,no,no,no,none,observational time-series/event analysis with multiple empirical techniques; theory test of diversionary war,empirical,E2,weak,no,instrumental use of international conflict to repair domestic coalition support,origin of discontent (coalition-critical vs other groups),conflicts short of war; US cases 1953-1976 only,reports the baseline null: quantitative tests generally failed to establish the systemic link,no,"Moderated association between discontent and force use; no increasing-X-produces-its-opposite relation, and no causal identification beyond observational design.","Packet stable_id JCR-1992-36-25 is not a registry identifier; matched real article is Morgan & Bickers 1992, JCR 36(1), 25-52, DOI 10.1177/0022002792036001002, hence source_verified=partial."
P05,10.1080/09636410903133050,The Security Dilemma: A Conceptual Analysis,2009,international relations,B,independent-1,partial,pass,yes,"Security and insecurity are the same variable's incompatible states in security-dilemma theory (defensive provision generating counter-mobilisation); admissible via domain theory, and the paper is a definitional analysis of precisely that mechanism.",unilateral security provision / armament by one actor at t0,lowered security for the same actor after the adversary's reactive armament,yes,no,yes,no,yes,yes,no,no,no,strategic_feedback,"conceptual/theoretical essay redefining the security-dilemma concept; no data, no formal estimates",conceptual,E0,moderate,not_tested,adversary's threat perception of defensively intended actions,"anarchy, ambiguity of intent, offensive-defensive asymmetry (conditions the paper critiques)",requires perceptual ambiguity of defensive intent; the author argues most extant extensions are inaccurate or misleading,author's own negative findings target concept-stretching rather than the reversal itself,yes,,"Packet journal is wrong: the article is Security Studies 18(3), 587-623 (ISSN 0963-6412), not Security Dialogue. Evidence tier E0 records absence of empirical identification, not scholarly quality; body text inaccessible (T&F 403), so the reversal is coded from the verified concept definition, which is the weakest inference in this packet and a likely A/B disagreement."
P06,10.1086/651235,Can There Ever Be Too Many Options? A Meta-Analytic Review of Choice Overload,2010,consumer psychology,B,independent-1,yes,pass,yes,"Assortment size and choice quality (deferral, dissatisfaction) are treated as functionally opposed states in the choice-overload literature; admissible via established construct pair, though the authors themselves attribute the 'paradox of choice' label to Schwartz.",number of options available (large vs small assortment),"effective choosing: deferral, lower choice probability, lower satisfaction",no,no,no,yes,yes,no,yes,no,no,capacity_overload,"random-effects meta-analysis with meta-regression, trimming and funnel diagnostics (50 published and unpublished experiments, 63 conditions, N=5036)",meta_analysis,E5,strong,no,decision difficulty and preference-representation strength (not estimated in this paper),"outcome type (consumption DV), expertise/clear prior preferences, publication status, year",authors state no sufficient conditions for overload could be identified,"headline null (d=0.02, CI -0.09 to 0.12; trimmed d=0.001), slight publication bias, repeated replication failures, poor quadratic fit (R2=0.02)",yes,,A null result is still an OCI candidate because the record tests the schema-shaped relation; the opposite-sign subgroup (people with clear preferences prefer larger sets) is the only positive reversal evidence here. Full text verified via the authors' open copy.
P07,10.1016/j.jcps.2014.08.002,Choice overload: A conceptual review and meta-analysis,2015,consumer psychology,B,independent-1,yes,pass,yes,Same established construct pair as P06; the authors themselves describe the focal result as 'the paradoxical finding that providing individuals with more options can be detrimental to choice'.,assortment size (number of options),"choice quality: deferral, switching, dissatisfaction, regret",no,no,no,yes,yes,no,yes,no,no,capacity_overload,"conceptual review plus meta-analysis (99 observations, N=7202) with moderator specification",meta_analysis,E5,strong,yes,processing burden implied by the four moderators; not separately estimated,"choice set complexity, decision task difficulty, preference uncertainty, prominence of an effort-minimizing decision goal","reversal is moderator-gated; more options help when complexity, difficulty and uncertainty are low","conditional result contradicts prior meta-analytic data (P06's null); the corrigendum reports a null coefficient (b=.04, t(39)=.9) in the assortment-size table",yes,,"A corrigendum exists (10.1016/j.jcps.2015.07.001, JCP 26(2):312) correcting p.348; pooled magnitudes beyond the corrected coefficients are UNVERIFIED (paywalled)."
P08,10.1287/orsc.1120.0806,The Autonomy Paradox: The Implications of Mobile Email Devices for Knowledge Professionals,2013,organization science,B,independent-1,yes,pass,yes,"Formal autonomy (choice over where/when to work) versus effective autonomy (actual control of work and time) is the schema's own construct-switch example, and the authors name the incompatible pair 'the autonomy paradox'.","use of mobile email devices and the enacted norm of continual connectivity, framed by users as increasing individual autonomy",reduced effective autonomy: working everywhere/all the time under escalated collective expectations,yes,yes,yes,yes,yes,yes,no,no,yes,construct_substitution,"qualitative grounded-theory-style interview study (48 knowledge professionals, 2004-05; one firm plus snowball sample; 18 re-interviewed)",empirical,E2,moderate,yes,shift in collective expectations about 'what it takes' to be an effective professional,"professional commitment to colleagues/clients, hierarchy and juniority",high-commitment professional settings with peer-judged availability; 2004-05 mobile email technology,"participants largely did not report feeling trapped (they normalised the escalation); a few explicitly resisted; no detectable variation by gender, hierarchy or occupation",yes,,"Multi-index case: I code primary_mechanism=construct_substitution following the schema's example, while the authors' own causal story is a collective escalation, i.e. level_switch plus feedback; either assignment is defensible and this is the packet's clearest legitimate disagreement risk."
P09,10.1177/1745691612447309,Self-Determination Theory Applied to Health Contexts: A Meta-Analysis,2012,health psychology,B,independent-1,yes,fail,no,No bipolar or complementary pair is inverted: autonomy support and need satisfaction move in the same direction as self-determination; any opposite here would be lexical only.,practitioner autonomy support,none claimed,no,no,no,no,no,no,no,no,no,none,meta-analysis (184 independent data sets) with meta-analytic path analyses,meta_analysis,E5,moderate,no,need satisfaction and autonomous motivation (modelled as mediators of the same-direction chain),"age, study design (tested where effects were heterogeneous)",health contexts only,no reversal reported; the paper reports positive relations throughout,no,Monotonic-positive mediation; fails stage 1 requirement of an outcome opposite to the exposure and fails S4 because no index shift produces O(X).,Retained as a negative control from the autonomy/choice stratum. Subscription-only text; coding from verified abstract.
P10,10.1002/smi.70151,Self-Determination Theory and Workplace Outcomes: A Meta-Analysis,2026,work psychology,B,independent-1,yes,fail,no,"Same as P09: the reported chain is same-direction, and the authors explicitly decline causal inference.",perceived need support from workplace leaders,none claimed,no,no,no,no,yes,no,no,no,no,none,"three-level meta-analysis plus meta-analytic structural equation modelling (192 articles, N=93552) with a full bias panel",meta_analysis,E5,weak,no,need satisfaction; autonomous vs controlled motivation,"work type, employee type, proximity of leader autonomy support, country GDP, cultural orientation",correlational data; authors call for randomised designs before causal claims,"theory-predicted negatives not obtained (introjected and external regulation positively related to need support); hypotheses HM1a-c, HM2a-c, HM6, HM7 rejected",no,"No functional-opposite outcome and no causal identification; rejected moderators are disconfirmation of predictions, not an inversion.","Published not in press: Stress and Health 42(1), e70151, 10 Feb 2026, PMC12887546. Zero occurrences of paradox/backfire/boomerang in the full text."
P11,10.1111/j.1756-8765.2008.01006.x,Homo Heuristicus: Why Biased Minds Make Better Inferences,2009,cognitive science,B,independent-1,yes,pass,yes,Information/computation and predictive accuracy are functionally opposed by the bias-variance account the authors formalise: beyond a point more input lowers the very quantity it is meant to raise. Not lexical antonymy.,"amount of information, cues, weights and computation used in inference","predictive accuracy (the intended function of that information), decreased by overfitting",no,no,yes,yes,yes,no,yes,yes,no,selection_filtering,theory plus simulation and reanalysis of published datasets; no new human experiment,empirical,E2,moderate,yes,variance/overfitting: error decomposition bias^2 + variance + noise,"linear predictability (R2 < .5), object-to-cue ratio <= 10, cue correlation, recognition validity > .5, training-sample size","authors state explicitly that less-is-more is a point beyond which more input is detrimental, not a monotone law",in the binary environment take-the-best performs worse than its greedy counterpart; the authors concede their bet can fail even at zero bias,yes,,"Nominal vs effective split is their own 'excel in hindsight, fail in foresight' formulation; publisher PDF verified."
P12,10.1177/1745691616635594,Homo Ignorans: Deliberately Choosing Not to Know,2016,psychology,B,independent-1,yes,pass,partial,"Knowledge and ignorance are lexical antonyms, which the schema deems insufficient; what makes the pair admissible here is the cited functional evidence (feedback reducing performance, ignorance improving bargaining and impartiality), so validity is only partially established within the record.",acquisition and use of information,"performance, bargaining payoff and agency, whose intended support information can invert",yes,yes,no,yes,yes,no,no,yes,yes,selection_filtering,conceptual taxonomy; no new empirical test,conceptual,E0,weak,not_tested,"emotion regulation, responsibility avoidance, impartiality, cognitive sustainability (six claimed functions)",whether action can follow the information; ambiguity plus egocentric bias; liability exposure; actor identity,'efficient ignorance' only where expected damage to others is below the ignorer's gain,the paper itself flags harm from ignoring health information and concedes one pathway is 'purely speculative',yes,,"No open-access copy of the journal article reached; quotations come from the authors' adapted Strungmann Forum chapter, which misstates its own issue number (issue 3, not 2)."
P13,10.1016/j.jesp.2026.104917,Does ignorance love company? The social dynamics of information avoidance,2026,social psychology,B,independent-1,yes,pass,yes,Information availability and actual information acquisition are functionally opposed in the paper's own claim that sharing crowds out searching; admissible via the paper's formal volunteer's-dilemma framing rather than lexical antonymy.,opportunity to share information with others (collective transparency),"reduced private information seeking, i.e. less knowledge at the collective level",yes,yes,no,yes,yes,yes,no,no,no,construct_substitution,four behavioural studies (N=760) including a repeated interactive experiment where participants could inform others,empirical,E3,moderate,partial,social influence/mimicry of others' avoidance; volunteer's dilemma incentive to free-ride on others' searching,"prevalence of the behaviour; preference type (selfish more influenced, prosocial consistent)",reversal requires that others can be informed; injunctive norms about avoidance flip with prevalence,mimicry produced no overall change in information avoidance or prosocial behaviour; only a minority acted as information spreaders,yes,,"Body text behind ScienceDirect/ZORA bot-blocks; coded from verified Crossref/OpenAlex record plus the publisher abstract and article highlights. Randomisation status of the key manipulation unverified, hence E3 not E4."
P14,10.1016/S0304-3932(03)00029-1,Implications of Rational Inattention,2003,economics,B,independent-1,yes,pass,no,"No opposite is defined: capacity is a budget allocated by optimisation, and the model's content is damping and delay, not an inverted function of attention.",information-channel capacity (bits per unit time),none claimed,no,no,no,no,no,no,no,no,no,none,formal dynamic optimisation under a Shannon capacity constraint with LQ control and a permanent-income example,formal,E0,none,not_tested,posterior uncertainty and signal-to-noise under a fixed capacity,"capacity level, weight in the objective, marginal returns to capacity",requires bounded signal-to-noise; no general-equilibrium counterpart supplied,author describes the implications as 'mostly thinly supported speculation'; adjustment-cost models mimic the same smoothness,no,Rational inattention is an optimisation-under-constraint result; the paper makes no do(X)->O(X) claim and reports no empirical test. Its near-reversal (harder problems attract less capacity) is monotone in marginal returns.,No abstract in Crossref/OpenAlex; verified against the author's manuscript whose 16-item reference list matches the published list exactly. Zero occurrences of paradox/perverse/backfire.
P15,10.1257/000282802762024610,Social Value of Public Information,2002,economics,B,independent-1,yes,pass,yes,"Public information precision and social welfare are linked through the paper's own welfare definition; the opposition is the schema's named outcome-inversion example, admissible as a formal complement in the outcome rather than lexical antonymy.",precision/quantity of public information supplied to agents,"expected social welfare, i.e. the function public information is provided to serve",yes,yes,no,yes,yes,yes,yes,no,no,strategic_feedback,"formal beauty-contest/island model with continuum of agents, quadratic loss, linear-normal solution plus appendix extensions",formal,E0,strong,yes,coordination motive causing agents to overweight the public signal relative to the social planner's weights,"strategic complementarity weight r (needs r > 0.5), precision of private signals, correlated vs independent private noise",interior region only: reversal when beta > alpha/[(2r-1)(1-r)]; welfare monotone positive absent socially valuable private information; corner alpha=0 under costly precision,always-beneficial case with no private information; strategic substitutes reverse the bias direction; adjacent Cao-Hirshleifer result differs in mechanism,yes,,"Cleanest formal OCI in the packet, with its own boundary conditions stated. Published AER 92(5), 1521-1534; the article's page header dates the issue December 2002 while Crossref prints 2002-11-01. Authors use 'detrimental', 'crowd out', 'more harm than good', not 'paradox'."
P16,10.1111/j.1467-9280.2007.01917.x,"The Constructive, Destructive, and Reconstructive Power of Social Norms",2007,social psychology,B,independent-1,yes,pass,yes,"A conservation-promoting message producing higher consumption in low-use households is a function-inversion of the message's defined purpose; admissible via the paper's theoretical prediction, not lexical antonymy.",descriptive norm feedback about peers' consumption (intended to reduce use),"increased household consumption, i.e. the opposite of the message's function",no,yes,no,yes,yes,no,yes,no,no,level_switch,"randomised field experiment with meter readings across three waves (approx. 300 households, San Marcos CA)",empirical,E4,strong,yes,perceived descriptive norm inferred from the message,baseline consumption relative to the neighbourhood average; presence of an injunctive approval/disapproval signal,reversal occurs only below the reference average; the injunctive-smiley framing eliminates it,"independent field evidence contradicts the boomerang in the lowest decile (Allcott & Rogers, NBER w15386, +3.4%); the negative-feedback face added nothing over information alone",yes,,"Quantitative magnitudes UNVERIFIED (publisher and repository PDFs blocked; figures seen only via the author's conference slides). Section 6 has no social-comparison family; level_switch chosen (individual behaviour vs group reference frame), with construct_switch also yes."
P17,10.1186/s13643-020-01533-0,Do descriptive norms messaging interventions backfire? Protocol for a systematic review of the boomerang effect,2020,behavior change,B,independent-1,yes,pass,yes,"The boomerang is defined as desirable behaviour becoming less likely after exposure to descriptive information, i.e. an inversion of the message's function; the protocol states this definition explicitly.",descriptive-norms message content among people already behaving well,decreased frequency of that behaviour,no,yes,no,yes,yes,no,no,no,no,level_switch,"PRISMA-P systematic-review protocol (PROSPERO CRD42020156989); no screening results, no estimates",review,E0,none,not_tested,none estimated; planned moderator analysis of pre-intervention behaviour subgroup,"pre-intervention behaviour level, message framing, delivery modality","English-only, restricted databases, studies without pre-intervention measures excluded","protocol states existing boomerang studies yielded inconsistent results, citing a null among lighter-than-average drinkers",yes,,"Candidate status rests on S4 (the target claim is representable); its contribution to the evidence base is nil, which is what E0 and result_support=not_tested record. Backfire/boomerang are the authors' own operative terms."
P18,10.1111/j.1360-0443.2005.01073.x,"Iatrogenic effects of psychosocial interventions for substance use disorders: prevalence, predictors, prevention",2005,clinical psychology/addiction,B,independent-1,yes,pass,yes,"Deterioration is the functional opposite of the intervention's definitionally specified purpose, and the paper quantifies it, so the opposition is admissible on domain-theoretic grounds rather than by antonymy.",participation in psychosocial treatment or prevention (exposure to group-based intervention),post-treatment functioning below pre-treatment functioning,yes,yes,yes,no,yes,no,no,no,no,level_switch,narrative critical review of controlled trials of treatment and prevention plus a conceptual framework,review,E2,moderate,partial,"deviancy modelling and peer contagion within group delivery; confrontation, criticism and high emotional arousal","younger age, unmarried status, more severe diagnoses and use problems, more psychiatric and interpersonal problems; weak bonding and low monitoring","a significant minority, not the average participant: 7-15% worse off after treatment; prevention programmes raised expectations and use",author states research is still needed to determine whether deterioration is iatrogenic; predictors labelled probable,yes,,"Harm is attributed to group-level composition acting on individuals, hence level_switch as primary with actor_switch flagged. Body text beyond the structured abstract UNVERIFIED (Wiley 403)."
