parameter_id,component,claim_or_parameter,value,unit,scope,status,source,source_id,allowed_use,forbidden_use
RLYCTX001,integrity_maintenance,Estimated global peer-review labor in 2020,130000000,hours,global journal peer review,CONTEXT_DENOMINATOR,Aczel Szaszi Holcombe 2021,10.1186/s41073-021-00118-2,Scale of peer-review labor system,Do not multiply by bad-paper prevalence
RLYCTX002,integrity_maintenance,Estimated global peer-review labor in 2018,68500000,hours,global scholarly peer review,CONTEXT_DENOMINATOR,Publons 2018 via Hamilton et al. 2020,10.7554/elife.62529,Alternative historical peer-review denominator,Do not treat as wasted review time
RLYCTX003,participant_sacrifice,Participants in completed but unpublished AD/MCI trials,66655,participants,AD/MCI interventional trials analysed 2018,E3_CONTEXT,Yilmaz et al. 2018,10.1016/j.trci.2018.03.005,Participant-sacrifice benchmark,Do not attribute to misconduct or convert to RLY
RLYCTX004,participant_sacrifice,Participants in unpublished discontinued AD/MCI trials,18246,participants,AD/MCI interventional trials analysed 2018,E3_CONTEXT,Yilmaz et al. 2018,10.1016/j.trci.2018.03.005,Participant-sacrifice benchmark,Do not attribute to misconduct or convert to RLY
RLYCTX005,career_spillover,Citation penalty to uninvolved prior collaborators,8-9,percent,ORI-linked collaborator study,CAREER_CONTEXT,Hussinger Pellens 2019,10.1016/j.respol.2018.01.012,Collateral-career evidence,Do not convert directly to career-years
RLYCTX006,financial_cost,Attributed total direct cost of NIH-linked retracted articles,440000000,USD_2026,1725 NIH-linked retracted articles,FINANCIAL_CONTEXT,Sandoval-Lentisco Ioannidis 2026 preprint,10.64898/2026.07.04.26357187,Financial burden benchmark,Do not globalize via prevalence multiplication
RLYCTX007,financial_cost,Mean attributed cost per NIH-linked retracted article,255087,USD_2026_per_article,NIH-linked retracted article subset,FINANCIAL_CONTEXT,Sandoval-Lentisco Ioannidis 2026 preprint,10.64898/2026.07.04.26357187,Article-level NIH cost benchmark,Do not convert to RLY by generic salary division
RLYTIME001,production_time,Median team-hours from planning through publication for retrospective studies,177,hours_per_publication,171 published retrospective surgical/clinical studies,NARROW_EMPIRICAL_ANCHOR,Song et al. 2013,10.1097/GOX.0b013e31828e9f51,Sensitivity/calibration for comparable retrospective-study production time,Do not treat as global hours per paper or victim time
RLYTIME002,publication_process,Median formatting time from initial submission through publication,14,hours_per_manuscript,372 international survey respondents,NARROW_EMPIRICAL_ANCHOR,LeBlanc et al. 2019,10.1371/journal.pone.0223116,Publication-process burden scenarios,Do not add to production time if already included in an idea-to-publication total
RLYTIME003,peer_review,Contextual range to write one peer review,4-8,hours_per_review,peer-review process literature context,CONTEXT_RANGE,Huisman Smits 2017,10.1007/s11192-017-2310-5,Peer-review labor sensitivity only,Do not call a global calibrated per-review distribution or multiply directly by bad-paper prevalence
