claim_id,domain,claim,value,unit,period_or_date,population_or_denominator,source,source_id,status,confidence,observed_or_modelled,notes
PUB001,publication universe,Crossref total metadata records,187832048,records,2026-09-16,Crossref database,Crossref Stats,https://www.crossref.org/06members/53status.html,VERIFIED,high,observed,"Metadata records; not equivalent to unique papers."
PUB002,publication universe,Crossref journal DOIs,125897384,DOIs,2026-09-16,Crossref database,Crossref Stats,https://www.crossref.org/06members/53status.html,VERIFIED,high,observed,"DOI records; not a direct article count."
PUB003,publication universe,OpenAlex core works,327203926,works,2026-09-18 current help page,OpenAlex core corpus,OpenAlex Works Overview,https://help.openalex.org/data/works/,VERIFIED,high,observed,"A work includes articles conference papers books chapters datasets dissertations preprints and more."
PUB004,publication universe,OpenAlex expansion works,190000000,works,2026-08-12 documentation,OpenAlex expansion corpus,OpenAlex Corpus documentation,https://help.openalex.org/data/works/corpus/,QUALIFIED,high,observed,"Approximate count; noisier/repository-heavy records; excluded from primary bibliometric denominator."
RM001,researcher behavior,Pooled self-reported prevalence of at least one FFP-type research misconduct behavior,2.9,percent,2021 meta-analysis,researchers in included survey studies,Xie Wang Kong 2021,10.1007/s11948-021-00314-9,VERIFIED,high,modelled,"95% CI 2.1-3.8%. Researcher-level behavior prevalence; NOT article prevalence."
RM002,researcher behavior,Pooled self-reported prevalence of at least one QRP,12.5,percent,2021 meta-analysis,researchers in included survey studies,Xie Wang Kong 2021,10.1007/s11948-021-00314-9,VERIFIED,high,modelled,"95% CI 10.5-14.7%. Definitions vary across surveys."
RM003,researcher behavior,Self-reported fabrication prevalence,4.3,percent,previous 3 years / published 2022,6813 academic researcher respondents in Netherlands,Gopalakrishna et al. 2022,10.1371/journal.pone.0263023,VERIFIED,high,modelled,"Randomized-response method; 95% CI 2.9-5.7; researcher-level."
RM004,researcher behavior,Self-reported falsification prevalence,4.2,percent,previous 3 years / published 2022,6813 academic researcher respondents in Netherlands,Gopalakrishna et al. 2022,10.1371/journal.pone.0263023,VERIFIED,high,modelled,"Randomized-response method; 95% CI 2.8-5.6; researcher-level."
VIT001,evidence contamination,Retracted randomized trials in VITALITY I cohort,1330,trials,data to 2024-11-05,retracted RCT cohort from Retraction Watch,Xu et al. 2025 BMJ,10.1136/bmj-2024-082068,VERIFIED,high,observed,"Clinical evidence ecosystem only."
VIT002,evidence contamination,Retracted trials causing meta-analysis contamination,312,trials,study database built 2024,1330 retracted RCTs,Xu et al. 2025 BMJ,10.1136/bmj-2024-082068,VERIFIED,high,observed,"23.5% of cohort; contamination defined through quantitative synthesis."
VIT003,evidence contamination,Meta-analyses contaminated by retracted trials,4095,meta-analyses,study database built 2024,forward-citation/evidence-synthesis search,Xu et al. 2025 BMJ,10.1136/bmj-2024-082068,VERIFIED,high,observed,"From 847 systematic reviews."
VIT004,evidence contamination,Systematic reviews containing contaminated meta-analyses,847,systematic reviews,study database built 2024,forward-citation/evidence-synthesis search,Xu et al. 2025 BMJ,10.1136/bmj-2024-082068,VERIFIED,high,observed,"Not representative of all systematic reviews."
VIT005,evidence distortion,Meta-analyses changing pooled-effect direction after excluding retracted trials,8.4,percent,published 2025,meta-analyses in VITALITY I leave-out analysis,Xu et al. 2025 BMJ,10.1136/bmj-2024-082068,VERIFIED,high,observed,"95% CI 6.8-10.1%; n=392 affected."
VIT006,evidence distortion,Meta-analyses changing P-value significance after excluding retracted trials,16.0,percent,published 2025,meta-analyses in VITALITY I leave-out analysis,Xu et al. 2025 BMJ,10.1136/bmj-2024-082068,VERIFIED,high,observed,"95% CI 14.2-17.9%; n=692 affected."
VIT007,guideline contamination,Substantially affected meta-analyses used downstream,218,meta-analyses,published 2025,68 systematic reviews,Xu et al. 2025 BMJ,10.1136/bmj-2024-082068,VERIFIED,high,observed,"These were traced into clinical practice guidelines."
VIT008,guideline contamination,Clinical practice guidelines summarising evidence from substantially contaminated reviews,157,guidelines,published 2025,English-language guidelines identified by study search,Xu et al. 2025 BMJ,10.1136/bmj-2024-082068,VERIFIED,high,observed,"Language/search restriction matters."
CAREER001,career spillover,Estimated citation penalty for uninvolved prior collaborators after misconduct event,"8-9",percent,published 2019,prior collaborators not implicated in ORI misconduct cases,Hussinger Pellens 2019,10.1016/j.respol.2018.01.012,VERIFIED,medium,modelled,"Difference-in-differences/matched design; population/time-specific."
