feasibility_id,calendar_stratum,target_doi,notice_or_source_doi,update_type,outcome_date,assertion_source,relation_label,source_work_title,source_work_date,target_title_current,target_title_has_status_marker,target_published,target_year,target_journal,target_type,issue_family_codes,ground_truth_tier,required_artifact_roles,content_detectability,adjudication_state,adjudication_notes
F001,2016,10.1080/00223891.2015.1076430,10.1080/00223891.2016.1149433,correction,2016-03-16,publisher,Correction,"Correction to: Refining the Openness–Performance Relationship: Construct Specificity, Contextualization, Social Skill, and the Combination of Trait Self- and Other-Ratings",2016-03-16,"Refining the Openness–Performance Relationship: Construct Specificity, Contextualization, Social Skill, and the Combination of Trait Self- and Other-Ratings",False,2015-09-25,2015,Journal of Personality Assessment,journal-article,,,,,UNASSESSED,
F002,2016,10.1007/s10886-016-0696-9,10.1007/s10886-016-0710-2,correction,2016-06-07,publisher,Correction,Erratum to: Western Pine Beetle Populations in Arizona and California Differ in the Composition of Their Aggregation Pheromones,2016-06-07,Western Pine Beetle Populations in Arizona and California Differ in the Composition of Their Aggregation Pheromones,False,2016-04-28,2016,Journal of Chemical Ecology,journal-article,,,,,UNASSESSED,
F003,2016,10.2514/6.2016-3928,10.2514/6.2016-3928.c1,correction,2020-03-18,publisher,Correction,Correction: A Comparative Study of Hybrid Flow Control System Architectures for an A320 Aircraft,2016-03-18,A Comparative Study of Hybrid Flow Control System Architectures for an A320 Aircraft,False,2016-06-10,2016,8th AIAA Flow Control Conference,proceedings-article,,,,,UNASSESSED,
F004,2016,10.1073/pnas.1507647113,10.1073/pnas.1606259113,correction,2016-05-16,publisher,Correction,"Correction for Buhrman et al., Quantum communication complexity advantage implies violation of a Bell inequality",2016-05-16,Quantum communication complexity advantage implies violation of a Bell inequality,False,2016-03-08,2016,Proceedings of the National Academy of Sciences,journal-article,,,,,UNASSESSED,
F005,2016,10.2147/ott.s96925,10.2147/ott.s121862,retraction,2016-09-08,retraction-watch,Retraction,"Expression of PER, CRY, and TIM genes for the pathological features of colorectal cancer patients [Retraction]",2016-09-01,"Expression of PER, CRY, and TIM genes for the pathological features of colorectal cancer patients",False,2016-04-01,2016,OncoTargets and Therapy,journal-article,,,,,UNASSESSED,
F006,2016,10.1016/j.microc.2015.11.046,10.1016/j.microc.2015.11.046,retraction,2016-05-01,publisher,Retraction,RETRACTED: Monitoring and Analyzing Volatile Organic Compounds in Fabs by Gas Chromatograph/Surface Acoustic Wave sensors,2016-05-01,RETRACTED: Monitoring and Analyzing Volatile Organic Compounds in Fabs by Gas Chromatograph/Surface Acoustic Wave sensors,True,2016-05-01,2016,Microchemical Journal,journal-article,,,,,UNASSESSED,
F007,2016,10.1016/j.bios.2015.11.092,10.1016/j.bios.2015.11.092,retraction,2018-04-21,retraction-watch,Retraction,RETRACTED: A fluorescent molecularly-imprinted polymer gate with temperature and pH as inputs for detection of alpha-fetoprotein,2016-04-01,RETRACTED: A fluorescent molecularly-imprinted polymer gate with temperature and pH as inputs for detection of alpha-fetoprotein,True,2016-04-01,2016,Biosensors and Bioelectronics,journal-article,,,,,UNASSESSED,
F008,2016,10.1016/j.molcel.2012.03.002,10.1016/j.molcel.2016.06.013,retraction,2016-07-01,retraction-watch,Retraction,Retraction Notice to: Lysyl Oxidase-like 2 Deaminates Lysine 4 in Histone H3,2016-07-01,RETRACTED: Lysyl Oxidase-like 2 Deaminates Lysine 4 in Histone H3,True,2012-05-01,2012,Molecular Cell,journal-article,,,,,UNASSESSED,
F009,2017,10.2337/dc16-1558,10.2337/dc17-er05a,correction,2017-05-01,publisher,Correction,Erratum. 2016 Presidential Address: Diabetes at 212°—Confronting the Invisible Disease. Diabetes Care 2016;39:1657–1663,2017-03-16,2016 Presidential Address: Diabetes at 212°—Confronting the Invisible Disease,False,2016-09-13,2016,Diabetes Care,journal-article,,,,,UNASSESSED,
F010,2017,10.1080/00049182.2016.1256750,10.1080/00049182.2016.1270265,correction,2017-02-13,publisher,Correction,Erratum,2017-02-13,"Opening a window to the West: the foreign concession at Kōbe, Japan, 1868–1899",False,2016-12-01,2016,Australian Geographer,journal-article,,,,,UNASSESSED,
F011,2017,10.1177/2041669517707769,10.1177/2041669517716557,correction,2017-06-14,publisher,Correction,Corrigendum,2017-06-14,Turning the Other Lobe: Directional Biases in Brain Diagrams,False,2017-05-18,2017,i-Perception,journal-article,,,,,UNASSESSED,
F012,2017,10.1080/08870446.2017.1290243,10.1080/08870446.2017.1352219,correction,2017-07-26,publisher,Correction,Corrigendum,2017-07-26,The INCA<sup>TM</sup> (<u>In</u>haler <u>C</u>ompliance <u>A</u>ssessment<sup>TM</sup>): A comparison with established measures of adherence,False,2017-02-28,2017,Psychology &amp; Health,journal-article,,,,,UNASSESSED,
F013,2017,10.1002/cnm.2805,10.1002/cnm.2902,retraction,2017-07-12,retraction-watch,Retraction,Retraction statement: Mathematical‐based modeling and prediction of the effect of external stimuli on human gait,2017-07-12,Retracted: Mathematical‐based modeling and prediction of the effect of external stimuli on human gait,True,2016-07-01,2016,International Journal for Numerical Methods in Biomedical Engineering,journal-article,,,,,UNASSESSED,
F014,2017,10.1126/science.aaa2655,10.1126/science.aap7423,retraction,2017-09-03,retraction-watch,Retraction,Retraction,2017-09-08,RETRACTED: The inner centromere–shugoshin network prevents chromosomal instability,True,2015-09-11,2015,Science,journal-article,,,,,UNASSESSED,
F015,2017,10.1007/s00104-017-0386-3,10.1007/s00104-017-0451-y,retraction,2017-06-12,retraction-watch,Retraction,Retraction Note to: New worldwide guidelines for treatment of inguinal hernia. The most important recommendations from HerniaSurge,2017-06-12,RETRACTED ARTICLE: Neue weltweite Leitlinie zur Behandlung der Leistenhernie,True,2017-03-03,2017,Der Chirurg,journal-article,,,,,UNASSESSED,
