person_id,canonical_name,identity_status,plausible_unique_works_n,deterministic_sample_rows_n,prior_explicit_keep_n,person_work_decision,network_release_approved,decision_evidence,reviewer,mh_blinded_at_work_lock,decision_date
cv_Q400678,Ahmad Kasravi,VERIFIED_CLUSTER,0,0,0,HOLD_INSUFFICIENT_CLEAN_WORKS,false,"Mechanical person-level corpus has 0 plausible unique works (<5), so the frozen pilot minimum cannot be met; detailed cleaning cannot be required merely to inflate N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q1729753,Karl-Franz Busch,VERIFIED_SINGLE,8,8,3,HOLD_INSUFFICIENT_CLEAN_WORKS,false,"Prior full pilot work adjudication retained 3 clean works (<5), despite 8 mechanically plausible OpenAlex rows; remains network-unobservable.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q1795953,Otto Siebert,VERIFIED_SINGLE,3,3,0,HOLD_INSUFFICIENT_CLEAN_WORKS,false,"Mechanical person-level corpus has 3 plausible unique works (<5), so the frozen pilot minimum cannot be met; detailed cleaning cannot be required merely to inflate N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q19287605,Karl Erich Hupka,VERIFIED_SINGLE,1,1,0,HOLD_INSUFFICIENT_CLEAN_WORKS,false,"Mechanical person-level corpus has 1 plausible unique works (<5), so the frozen pilot minimum cannot be met; detailed cleaning cannot be required merely to inflate N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q40700285,Paul J. Torpey,VERIFIED_SINGLE,3,3,0,HOLD_INSUFFICIENT_CLEAN_WORKS,false,"Mechanical person-level corpus has 3 plausible unique works (<5), so the frozen pilot minimum cannot be met; detailed cleaning cannot be required merely to inflate N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q1621300,Konrad Oberhuber,VERIFIED_SINGLE,27,12,0,HOLD_UNRESOLVED_WORK_CONTAMINATION,false,"Terminal pre-exposure precision-first hold: >=5 mechanically plausible works exist, but deterministic audit and/or identity notes retain unresolved contamination, fragment, posthumous, container, or attribution risk. Person remains identity-verified but network-unobservable; no threshold is relaxed to increase N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,47,12,0,HOLD_UNRESOLVED_WORK_CONTAMINATION,false,"Terminal pre-exposure precision-first hold: >=5 mechanically plausible works exist, but deterministic audit and/or identity notes retain unresolved contamination, fragment, posthumous, container, or attribution risk. Person remains identity-verified but network-unobservable; no threshold is relaxed to increase N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q15488589,Ulrike Toellner-Bauer,VERIFIED_SINGLE,5,5,0,RELEASE_SAMPLE_PASS,true,Deterministic MH-blind work audit passed all 5 sampled plausible works with no sampled contamination; >=5 plausible works remain. Release is person-level and does not weaken frozen WORK_CODEBOOK.,ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,19,12,0,RELEASE_FULL_WORK_REVIEW,true,"Full explicit review covers all 19 plausible works: 14 KEEP, 4 duplicate manifestations consolidated to canonical book nodes, and 1 wrong-author review excluded; no unresolved rows.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q313061,Aurel Stein,VERIFIED_SINGLE,71,12,0,HOLD_UNRESOLVED_WORK_CONTAMINATION,false,"Terminal pre-exposure precision-first hold: >=5 mechanically plausible works exist, but deterministic audit and/or identity notes retain unresolved contamination, fragment, posthumous, container, or attribution risk. Person remains identity-verified but network-unobservable; no threshold is relaxed to increase N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q4937482,Bogdan Zakrzewski,VERIFIED_SINGLE,22,12,0,HOLD_UNRESOLVED_WORK_CONTAMINATION,false,"Terminal pre-exposure precision-first hold: >=5 mechanically plausible works exist, but deterministic audit and/or identity notes retain unresolved contamination, fragment, posthumous, container, or attribution risk. Person remains identity-verified but network-unobservable; no threshold is relaxed to increase N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,36,12,0,RELEASE_SAMPLE_PASS,true,"Deterministic 12-work MH-blind audit passed all sampled works, including every accepted Author-ID fragment anchor; >=5 plausible works remain and no sampled contamination was found.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q1737527,Kazimierz Urbanik,VERIFIED_SINGLE,97,12,0,RELEASE_SAMPLE_PASS,true,Deterministic MH-blind work audit passed all 12 sampled plausible works with no sampled contamination; >=5 plausible works remain. Release is person-level and does not weaken frozen WORK_CODEBOOK.,ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q57447297,Thomas Aisu,VERIFIED_SINGLE,4,4,0,HOLD_INSUFFICIENT_CLEAN_WORKS,false,"Mechanical person-level corpus has 4 plausible unique works (<5), so the frozen pilot minimum cannot be met; detailed cleaning cannot be required merely to inflate N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q23059458,Minoo Lenarz,VERIFIED_SINGLE,75,12,0,HOLD_UNRESOLVED_WORK_CONTAMINATION,false,"Terminal pre-exposure precision-first hold: >=5 mechanically plausible works exist, but deterministic audit and/or identity notes retain unresolved contamination, fragment, posthumous, container, or attribution risk. Person remains identity-verified but network-unobservable; no threshold is relaxed to increase N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q3052265,Émile Haumant,VERIFIED_CLUSTER,11,11,0,RELEASE_SAMPLE_PASS,true,Full plausible corpus audit passed 11/11 works with independent Persée bibliography; no contamination found.,ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q19850025,Oskar Simony,VERIFIED_CLUSTER,2,2,0,HOLD_INSUFFICIENT_CLEAN_WORKS,false,"Mechanical person-level corpus has 2 plausible unique works (<5), so the frozen pilot minimum cannot be met; detailed cleaning cannot be required merely to inflate N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q6225153,John Carl Parish,VERIFIED_SINGLE,72,12,0,HOLD_UNRESOLVED_WORK_CONTAMINATION,false,"Terminal pre-exposure precision-first hold: >=5 mechanically plausible works exist, but deterministic audit and/or identity notes retain unresolved contamination, fragment, posthumous, container, or attribution risk. Person remains identity-verified but network-unobservable; no threshold is relaxed to increase N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q7926394,Victor Thébault,VERIFIED_SINGLE,405,12,0,HOLD_UNRESOLVED_WORK_CONTAMINATION,false,"Terminal pre-exposure precision-first hold: >=5 mechanically plausible works exist, but deterministic audit and/or identity notes retain unresolved contamination, fragment, posthumous, container, or attribution risk. Person remains identity-verified but network-unobservable; no threshold is relaxed to increase N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q3385700,Pierre L. G. Benoit,VERIFIED_CLUSTER,2,2,0,HOLD_INSUFFICIENT_CLEAN_WORKS,false,"Mechanical person-level corpus has 2 plausible unique works (<5), so the frozen pilot minimum cannot be met; detailed cleaning cannot be required merely to inflate N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q2641681,Alexander Aigner,VERIFIED_CLUSTER,84,12,0,HOLD_UNRESOLVED_WORK_CONTAMINATION,false,"Terminal pre-exposure precision-first hold: >=5 mechanically plausible works exist, but deterministic audit and/or identity notes retain unresolved contamination, fragment, posthumous, container, or attribution risk. Person remains identity-verified but network-unobservable; no threshold is relaxed to increase N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q18822352,Vikram Marwah,VERIFIED_SINGLE,3,3,0,HOLD_INSUFFICIENT_CLEAN_WORKS,false,"Mechanical person-level corpus has 3 plausible unique works (<5), so the frozen pilot minimum cannot be met; detailed cleaning cannot be required merely to inflate N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q7416679,Sandra Leiblum,VERIFIED_CLUSTER,160,12,0,RELEASE_SAMPLE_PASS,true,"Deterministic 12-work MH-blind audit passed all sampled works, including every accepted Author-ID fragment anchor; >=5 plausible works remain and no sampled contamination was found.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q104271,Michael Theunissen,VERIFIED_CLUSTER,74,12,0,HOLD_UNRESOLVED_WORK_CONTAMINATION,false,"Terminal pre-exposure precision-first hold: >=5 mechanically plausible works exist, but deterministic audit and/or identity notes retain unresolved contamination, fragment, posthumous, container, or attribution risk. Person remains identity-verified but network-unobservable; no threshold is relaxed to increase N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q56329881,Armin Buschauer,VERIFIED_SINGLE,315,12,0,HOLD_UNRESOLVED_WORK_CONTAMINATION,false,"Terminal pre-exposure precision-first hold: >=5 mechanically plausible works exist, but deterministic audit and/or identity notes retain unresolved contamination, fragment, posthumous, container, or attribution risk. Person remains identity-verified but network-unobservable; no threshold is relaxed to increase N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q47216729,Alfonso W. Quiroz,VERIFIED_CLUSTER,67,12,0,RELEASE_SAMPLE_PASS,true,"Deterministic 12-work MH-blind audit passed all sampled works, including every accepted Author-ID fragment anchor; >=5 plausible works remain and no sampled contamination was found.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q5712976,Folke Engström,VERIFIED_SINGLE,14,12,0,RELEASE_SAMPLE_PASS,true,Deterministic MH-blind work audit passed all 12 sampled plausible works with no sampled contamination; >=5 plausible works remain. Release is person-level and does not weaken frozen WORK_CODEBOOK.,ARIS4C 000 pre-exposure evidence review,true,2026-09-19
